family	size	variant	queries	complete_timing_runs	resource_failures	raw_by_query	lifecycle_ns	lifecycle_ns_min	lifecycle_ns_max	prepare_ns	prepare_ns_min	prepare_ns_max	prepared_drop_ns	prepared_drop_ns_min	prepared_drop_ns_max	setup_ns	setup_ns_min	setup_ns_max	execution_ns	execution_ns_min	execution_ns_max	observe_ns	observe_ns_min	observe_ns_max	result_drop_ns	result_drop_ns_min	result_drop_ns_max	query_drop_ns	query_drop_ns_min	query_drop_ns_max	request_ns	request_ns_min	request_ns_max	answer_drop_ns	answer_drop_ns_min	answer_drop_ns_max	first_query_ns	first_query_ns_min	first_query_ns_max	first_answer_ns	first_answer_ns_min	first_answer_ns_max	memory_complete	max_rss_kib	before_rss_kib	prepared_rss_kib	final_rss_kib	post_answer_rss_kib
contradiction	8	conflict	4	5	0	[0, 0, 0, 0]	9235948	8425344	9760955	7905148	7197380	8301108	914664	823949	1155540	327095	285216	349210	87732	79580	90605	0	0	0	0	0	0	5485	4905	5926	416038	370329	443127	93	86	113	360326	318439	385590				True	32512	4740	30752	16040	[32368, 32368, 32368, 32368]
contradiction	8	generated-active-indexed	1	5	0	[0]	183417973	177927088	185963900	50721	42493	58412	219	200	247	943	895	1002	182994128	177480258	185530255	0	0	0	0	0	0	385251	365395	402987	183360584	177884353	185912887	45	42	48	183360629	177884395	185912932				True	120320	4772	5048	110304	[110304]
contradiction	8	generated-active-indexed	4	5	0	[0, 0, 0, 0]	659863334	637133609	725049672	82018	63317	88250	10272	9066	10387	104679	103111	113977	613070360	591652461	676236866	0	0	0	0	0	0	46608749	45273522	49365647	659782897	637040972	724950750	389	232	428	183704529	175792809	239421375				True	130420	4736	5092	125656	[110356, 110356, 125656, 125656]
contradiction	8	generated-global-scan	1	5	0	[0]	381163	354698	409965	55773	45930	65267	185	84	232	935	825	1085	326946	299098	342866	0	0	0	0	0	0	251	155	366	328077	300250	344457	44	40	47	328121	300290	344501				True	5632	4792	5068	5236	[5236]
contradiction	8	generated-global-scan	4	5	0	[0, 0, 0, 0]	1003005	945761	1083957	60165	37218	64904	2013	1779	2245	35457	32941	37252	912620	841301	971008	0	0	0	0	0	0	7689	7099	19927	955598	882483	1016696	108	106	197	318863	288447	360803				True	5504	4720	5004	5196	[5176, 5176, 5196, 5196]
contradiction	8	generic-global-scan	1	5	0	[0]	372817	328290	409852	47246	33745	55724	209	75	290	905	760	1120	320437	293255	360901	0	0	0	0	0	0	280	149	553	322077	294425	362271	45	41	124	322120	294466	362316				True	5760	4764	5104	5272	[5272]
contradiction	8	generic-global-scan	4	5	0	[0, 0, 0, 0]	1091183	1048136	1159918	48928	44270	55476	2276	1811	2410	37614	36533	39381	987371	952470	1063872	0	0	0	0	0	0	7402	6602	8149	1033188	997041	1108254	105	96	113	338363	305507	401924				True	5760	4696	5100	5292	[5272, 5272, 5292, 5292]
contradiction	8	native	1	5	0	[0]	5190	4825	7847	2498	2149	5004	349	331	415	733	677	915	1219	1095	1471	0	0	0	0	0	0	248	192	277	2330	2236	2956	46	41	47	2376	2277	3002				True	5248	4736	4800	4804	[4804]
contradiction	8	native	4	5	0	[0, 0, 0, 0]	9344	7536	11223	2951	1874	5234	408	336	478	1730	1429	1889	2847	2578	3336	0	0	0	0	0	0	416	332	448	5489	4725	6122	94	92	109	2603	2237	3178				True	5248	4692	4692	4760	[4696, 4760, 4760, 4760]
contradiction	8	support	1	5	0	[0]	9217119	9109118	9473788	7812567	7768688	8182325	950509	913091	1136717	365191	324875	410192	47691	45867	48628	0	0	0	0	0	0	1379	1214	1582	414447	375351	457513	45	43	98	414545	375398	457556				True	32384	4700	30644	15940	[32268]
contradiction	8	support	4	5	0	[0, 0, 0, 0]	9568384	9169802	9702854	8017780	7688771	8199427	1054036	1006803	1076500	372584	345646	394430	96422	88151	98131	0	0	0	0	0	0	5215	5109	5791	471141	439520	496472	96	85	114	411163	382012	434399				True	32512	4796	30732	16032	[32356, 32360, 32360, 32360]
unsupported	4	conflict	1	5	0	[54]	12133310	12079754	12695454	7766060	7624177	7843322	1064658	980555	1103681	236052	231862	266242	3078862	2921585	3352044	95977	91361	108016	2059	1864	2289	10984	10016	12447	3429060	3294379	3736265	11586	10194	14962	3444022	3304573	3748451	441108	397356	441997	True	33152	4792	30720	16616	[33008]
unsupported	4	conflict	4	5	0	[54, 0, 18, 54]	16519617	16363964	16703400	7675219	7517150	8131905	1150050	1020326	1391985	250001	234132	278609	7086131	6969148	7245406	226798	219775	232090	4614	4535	6341	26059	23778	27424	7586962	7478619	7793542	31316	30104	32946	3493448	3449642	3525829	415315	384883	430650	True	33280	4820	30752	16668	[33044, 33044, 33044, 33060]
unsupported	4	generated-active-indexed	1	5	0	[54]	720137	672784	754437	42953	32925	48849	181	100	232	473	377	564	549317	520566	580004	59867	55456	63932	35772	34657	37092	8824	7799	9413	662930	625819	690637	14629	13251	14939	676952	639759	705471	538131	509073	568378	True	6132	4796	5064	5640	[5640]
unsupported	4	generated-active-indexed	4	5	0	[54, 0, 18, 54]	2097212	1877418	2136898	55512	37963	57515	2532	1985	2668	32458	30099	36353	1678348	1497365	1710423	160653	147709	169664	76334	69387	83693	33389	30665	35441	1992905	1792424	2034074	44644	44246	50901	662252	552867	693302	542190	440299	564751	True	6268	4792	5068	5860	[5640, 5852, 5860, 5860]
unsupported	4	generated-global-scan	1	5	0	[54]	445497	380751	492224	36453	32191	50797	86	83	228	475	355	559	303814	261653	338471	34718	31826	36590	21739	19707	23352	8846	8071	9943	375537	324426	412260	26772	24051	28939	402309	348477	441199	289385	249327	323541	True	5760	4804	5004	5368	[5368]
unsupported	4	generated-global-scan	4	5	0	[54, 0, 18, 54]	978366	881697	995002	47760	40910	49915	1916	1787	2569	13578	12515	18202	646477	610452	694837	88084	82146	89924	47342	45297	52877	18210	17718	19129	825712	775112	880832	64494	57718	100909	383913	361600	430136	269659	258686	299394	True	5888	4760	5092	5416	[5392, 5392, 5392, 5416]
unsupported	4	generic-global-scan	1	5	0	[54]	405685	389985	472192	40175	24035	48370	238	91	282	476	359	485	278465	275082	331059	33344	31021	36739	21088	19552	23662	8302	8143	9434	348588	340391	397321	24918	24137	26261	373506	364528	423582	265641	256707	316303	True	5760	4720	5112	5412	[5412]
unsupported	4	generic-global-scan	4	5	0	[54, 0, 18, 54]	939331	888438	958262	34972	29876	44017	1783	1660	2133	10599	10156	11147	660198	638095	694156	84292	75002	88998	48449	43180	52329	18516	16682	18714	830079	789752	861715	63575	56398	64538	390139	351173	406921	280451	253363	291247	True	5760	4796	5060	5388	[5364, 5364, 5364, 5388]
unsupported	4	native	1	5	0	[54]	98069	90485	113425	3215	1397	3711	338	222	339	668	567	789	3635	3373	3752	74809	68765	88744	1476	1409	1551	199	161	287	83921	77422	98466	10323	9509	11213	94230	86931	109375	5843	5116	7968	True	5504	4744	4808	4980	[4980]
unsupported	4	native	4	5	0	[54, 0, 18, 54]	218475	184546	228398	2029	1099	4266	349	286	384	1332	1231	1371	8272	7009	8512	166882	141963	179646	3428	3238	3518	455	334	539	187989	160453	200840	25276	22708	26544	104542	90048	113240	9121	6583	10667	True	5504	4724	4792	5036	[5024, 5024, 5024, 5036]
unsupported	4	support	1	5	0	[54]	12294936	12052872	12413571	7764059	7590723	7872737	1025950	915921	1080098	286079	234389	337119	3049346	3012480	3203528	100074	93456	109624	1864	1799	2366	11229	11000	12017	3433546	3395038	3666878	11976	10947	12455	3444493	3407023	3678263	466032	426672	609170	True	33024	4780	30712	16600	[32992]
unsupported	4	support	4	5	0	[54, 0, 18, 54]	16224761	15506256	16579480	7820973	7402233	7938474	1145889	1013856	1183254	286476	277681	302714	6845088	6435772	7017507	218435	210698	253086	4553	4352	4706	26602	23831	27436	7383164	7030805	7573389	28149	27394	31014	3380526	3188435	3584311	447258	427336	475259	True	33280	4708	30708	16752	[33124, 33124, 33124, 33144]
unsupported	6	conflict	1	5	0	[486]	45888759	45059599	47182238	7919046	7645734	8105889	1408251	1293059	1520923	257888	248153	271083	34870003	34459580	36106752	982796	962056	1029314	18289	17463	25811	105270	98637	141818	36271983	35856679	37588117	149746	139838	168070	36421729	35996517	37756187	443505	432783	479692	True	34432	4816	30744	17904	[34296]
unsupported	6	conflict	4	5	0	[486, 0, 162, 486]	95017095	90010278	96437808	7626508	7348575	7929723	1541905	1324490	1743927	259804	238971	315662	82304262	77882418	83563280	2329828	2244281	2378415	42333	41932	50438	250099	235830	259075	85206751	80723443	86633849	348436	344909	396355	36277412	34700166	37007836	422373	370890	516764	True	34560	4812	30724	18012	[34344, 34344, 34344, 34404]
unsupported	6	generated-active-indexed	1	5	0	[486]	6162834	5834466	6431927	46297	30798	46506	268	254	419	530	364	550	4902851	4641042	5029153	605635	572517	691440	373588	325896	429716	41164	37617	112209	5931220	5602238	6207837	190471	184756	204558	6115976	5792709	6400869	4588433	4306879	4688000	True	11392	4804	5124	10284	[10284]
unsupported	6	generated-active-indexed	4	5	0	[486, 0, 162, 486]	20053182	19972195	20600741	54063	49477	54551	5414	4966	6639	59152	31837	64302	15935566	15613093	16540315	1921777	1415340	1985418	956851	878594	989884	541488	503063	594560	19433269	19188283	19822824	692365	563268	729442	6241936	6101220	6717791	4507343	4370512	4862775	True	12324	4852	5116	11852	[10276, 11852, 11852, 11852]
unsupported	6	generated-global-scan	1	5	0	[486]	3416465	3341601	3665628	38909	34037	44883	223	211	267	472	427	533	2432542	2375217	2607022	410576	395221	476611	198367	192372	212455	22581	18105	24663	3101764	3017356	3347872	279647	255514	287489	3382205	3302425	3620534	2181650	2115584	2344081	True	7688	4832	5088	7196	[7196]
unsupported	6	generated-global-scan	4	5	0	[486, 0, 162, 486]	8355038	7699277	8754789	41287	33709	46769	3700	2887	4210	25076	23580	26085	5982089	5437823	6348682	933443	920067	950902	479513	452877	519664	123092	116286	125031	7656700	7034580	7942522	647297	624009	762823	3367766	3121228	3504395	2218566	2045106	2302181	True	8240	4772	5156	7872	[7260, 7260, 7260, 7872]
unsupported	6	generic-global-scan	1	5	0	[486]	3357919	3250416	3654630	35602	32211	44406	275	251	457	442	360	501	2392842	2358300	2571377	404640	368381	428110	191039	185234	214059	18328	15456	23829	3037159	2952999	3225391	273120	246771	401151	3322063	3209764	3621293	2142178	2122634	2298347	True	7688	4732	5116	7224	[7224]
unsupported	6	generic-global-scan	4	5	0	[486, 0, 162, 486]	8561001	8198459	10678134	37260	28037	44542	3959	3256	7735	17459	16883	18537	6155959	5857672	7649090	978716	928562	1161200	504110	490925	671151	123816	122052	134465	7851838	7482490	9686318	708052	670548	939539	3644182	3319064	3755963	2362987	2197390	2496753	True	8240	4860	5180	7900	[7284, 7284, 7284, 7900]
unsupported	6	native	1	5	0	[486]	927874	854607	1085867	2120	1620	3270	467	340	541	693	644	1239	28064	24839	30811	751458	692193	886130	13296	11294	14435	236	161	394	819865	754778	961542	111974	96219	137222	924181	850997	1083280	7847	5453	8149	True	6272	4804	4804	5856	[5856]
unsupported	6	native	4	5	0	[486, 0, 162, 486]	2139846	2048024	2235767	1703	1446	3247	389	297	679	1546	1433	2058	76626	74359	84644	1721058	1600508	1785883	32461	31632	35376	490	421	647	1892635	1781282	1976574	256525	243584	264907	968068	892402	1036168	7480	5892	7978	True	6528	4792	4792	5976	[5900, 5964, 5964, 5976]
unsupported	6	support	1	5	0	[486]	45313309	44648573	47149584	7747287	7403803	8118552	1276003	1216545	1371748	274931	247227	316574	35130207	34033100	36074377	1016033	987804	1048800	17736	16887	31850	112898	102200	126038	36549515	35494643	37573260	147296	135521	155166	36692961	35641939	37724288	456535	398756	551851	True	34560	4824	30764	17944	[34336]
