weak 4 active scan generated Counts { steps: 326, splits: 80, failures: 0, answers: 81, peak: 64, first_failure_splits: None, applications: 40, candidates: 40, observation: 81, max_terminal_terms: 3 }
weak 4 active scan generic Counts { steps: 326, splits: 80, failures: 0, answers: 81, peak: 64, first_failure_splits: None, applications: 40, candidates: 40, observation: 81, max_terminal_terms: 3 }
weak 4 active indexed generated Counts { steps: 326, splits: 80, failures: 0, answers: 81, peak: 64, first_failure_splits: None, applications: 40, candidates: 40, observation: 81, max_terminal_terms: 3 }
weak 4 active indexed generic Counts { steps: 326, splits: 80, failures: 0, answers: 81, peak: 64, first_failure_splits: None, applications: 40, candidates: 40, observation: 81, max_terminal_terms: 3 }
weak 6 global scan generated Counts { steps: 5835, splits: 728, failures: 0, answers: 729, peak: 716, first_failure_splits: None, applications: 364, candidates: 364, observation: 729, max_terminal_terms: 3 }
weak 6 global scan generic Counts { steps: 5835, splits: 728, failures: 0, answers: 729, peak: 716, first_failure_splits: None, applications: 364, candidates: 364, observation: 729, max_terminal_terms: 3 }
weak 6 global indexed generated Counts { steps: 5835, splits: 728, failures: 0, answers: 729, peak: 716, first_failure_splits: None, applications: 364, candidates: 364, observation: 729, max_terminal_terms: 3 }
weak 6 global indexed generic Counts { steps: 5835, splits: 728, failures: 0, answers: 729, peak: 716, first_failure_splits: None, applications: 364, candidates: 364, observation: 729, max_terminal_terms: 3 }
weak 6 active scan generated Counts { steps: 2920, splits: 728, failures: 0, answers: 729, peak: 512, first_failure_splits: None, applications: 364, candidates: 364, observation: 729, max_terminal_terms: 3 }
weak 6 active scan generic Counts { steps: 2920, splits: 728, failures: 0, answers: 729, peak: 512, first_failure_splits: None, applications: 364, candidates: 364, observation: 729, max_terminal_terms: 3 }
weak 6 active indexed generated Counts { steps: 2920, splits: 728, failures: 0, answers: 729, peak: 512, first_failure_splits: None, applications: 364, candidates: 364, observation: 729, max_terminal_terms: 3 }
weak 6 active indexed generic Counts { steps: 2920, splits: 728, failures: 0, answers: 729, peak: 512, first_failure_splits: None, applications: 364, candidates: 364, observation: 729, max_terminal_terms: 3 }
weak 8 global scan generated Counts { steps: 52493, splits: 6560, failures: 0, answers: 6561, peak: 6304, first_failure_splits: None, applications: 3280, candidates: 3280, observation: 6561, max_terminal_terms: 3 }
weak 8 global scan generic Counts { steps: 52493, splits: 6560, failures: 0, answers: 6561, peak: 6304, first_failure_splits: None, applications: 3280, candidates: 3280, observation: 6561, max_terminal_terms: 3 }
weak 8 global indexed generated Counts { steps: 52493, splits: 6560, failures: 0, answers: 6561, peak: 6304, first_failure_splits: None, applications: 3280, candidates: 3280, observation: 6561, max_terminal_terms: 3 }
weak 8 global indexed generic Counts { steps: 52493, splits: 6560, failures: 0, answers: 6561, peak: 6304, first_failure_splits: None, applications: 3280, candidates: 3280, observation: 6561, max_terminal_terms: 3 }
weak 8 active scan generated Counts { steps: 26250, splits: 6560, failures: 0, answers: 6561, peak: 4160, first_failure_splits: None, applications: 3280, candidates: 3280, observation: 6561, max_terminal_terms: 3 }
weak 8 active scan generic Counts { steps: 26250, splits: 6560, failures: 0, answers: 6561, peak: 4160, first_failure_splits: None, applications: 3280, candidates: 3280, observation: 6561, max_terminal_terms: 3 }
weak 8 active indexed generated Counts { steps: 26250, splits: 6560, failures: 0, answers: 6561, peak: 4160, first_failure_splits: None, applications: 3280, candidates: 3280, observation: 6561, max_terminal_terms: 3 }
weak 8 active indexed generic Counts { steps: 26250, splits: 6560, failures: 0, answers: 6561, peak: 4160, first_failure_splits: None, applications: 3280, candidates: 3280, observation: 6561, max_terminal_terms: 3 }
