family	size	execution	policy	access	prepare_ns	prepare_ns_min	prepare_ns_max	prepared_drop_ns	prepared_drop_ns_min	prepared_drop_ns_max	harness_ns	harness_ns_min	harness_ns_max	first_query_ns	first_query_ns_min	first_query_ns_max	reused_query_ns	reused_query_ns_min	reused_query_ns_max	lifecycle_ns	lifecycle_ns_min	lifecycle_ns_max	setup_ns	setup_ns_min	setup_ns_max	execution_ns	execution_ns_min	execution_ns_max	observe_ns	observe_ns_min	observe_ns_max	engine_drop_ns	engine_drop_ns_min	engine_drop_ns_max	answer_drop_ns	answer_drop_ns_min	answer_drop_ns_max	work_applications	work_candidate_visits	work_generic_template_visits	work_structural_tests	work_binding_slot_copies	work_pool_entries	work_index_bucket_entries	work_index_lookups	work_index_repairs	work_index_inserts	work_index_removes	work_key_visits	work_key_template_visits	work_key_normalization_requests	work_key_normalization_allocations	work_dependency_visits	work_activation_pushes	work_history_checks	work_pairs	work_dereferences	work_map_visits	work_map_allocations	work_term_requests	execution_requested_bytes	execution_allocation_calls	query_peak_live_bytes	post_answer_live_bytes	prepared_released_bytes
Chain	8	Generic	Global	Indexed	13575	8623	17590	1011	814	1360	155579	151383	181781	120934	110685	135757	106000.66666666667	97991.66666666667	138534.0	453926	414097	551482	7603.5	6863.5	8620.75	93629.5	85472.5	112878.0	4556.25	4248.0	6596.5	3268.5	2814.5	3917.75	926.75	849.25	2047.0	17	305	509	430	644	216	125	360	35	34	9	223	333	214	0	43	0	125	134	36	71	29	249	79184	1974	33355	4729	2380
Chain	8	Generic	Global	Scan	12691	9473	17026	936	755	1150	175321	151062	188106	153009	140455	172783	151290.33333333334	147031.66666666666	159146.66666666666	626740	591778	656314	8027.0	7616.0	9038.0	135370.75	130431.75	144403.25	4672.0	4207.0	5004.25	2244.75	1875.75	5874.25	897.75	834.5	1645.75	17	1289	1493	1414	2612	1389	0	0	0	0	0	0	0	0	0	0	0	125	1118	27	71	29	35	151164	4353	22424	4726	2380
Chain	64	Generated	Active	Indexed	14399	13379	18129	1188	871	1370	1034705	1023964	1067123	1545642	1515189	1644957	1629788.3333333333	1581667.0	1693101.3333333333	6462517	6305936	6640704	45428.5	44383.75	49715.5	1514222.75	1474324.75	1557343.75	26847.0	24812.75	29031.75	14243.25	13712.0	14705.5	11833.0	11159.0	12773.0	129	16838	0	17095	33934	10401	65	262	259	258	65	454	388	389	0	323	258	257	8451	260	1429	449	648	1761998	56975	199054	4732	2380
Chain	64	Generated	Active	Scan	21896	15789	26555	1500	1190	1541	1131317	1042494	1151398	1803910	1644687	1974628	1851709.6666666667	1823758.0	1949281.0	7400714	7216521	7839616	50831.5	46607.25	76643.25	1750146.75	1677709.75	1853762.75	27922.0	26668.75	30604.75	10775.75	10174.25	11138.75	5838.75	5625.25	10210.25	129	20934	0	21191	42126	14625	0	0	0	0	0	0	0	0	0	323	258	257	12547	195	1429	449	259	2081460	67766	136091	4729	2380
Chain	64	Generated	Global	Indexed	19916	13876	28728	1647	1134	1869	1075720	1055944	1282430	2359933	2326647	2517355	2622379.6666666665	2589754.6666666665	2937428.3333333335	10338257	10117696	11359949	48921.0	47497.25	72716.5	2484789.5	2421148.75	2716877.5	27118.5	26384.5	30138.0	15673.5	15074.25	16411.5	5747.0	5511.25	13693.0	129	14949	0	21318	30156	10660	6369	17160	259	258	65	8903	15145	8838	0	323	0	6369	6434	260	1429	449	9097	2043456	70980	196902	4732	2380
Chain	64	Generated	Global	Scan	15678	14436	19047	1700	1399	2619	1177657	1155581	1228858	28617361	28179775	29725086	29939636.666666668	29250006.0	33263272.333333332	118284745	116384763	129377986	55095.0	51999.0	55655.25	29463964.25	28996752.25	32235465.0	27245.0	25155.25	29878.75	12122.75	11208.25	13980.5	5905.0	5734.75	6262.75	129	460069	0	466438	920396	466245	0	0	0	0	0	0	0	0	0	0	0	6369	451554	195	1429	449	259	47766780	1389399	125555	4729	2380
Chain	64	Generic	Active	Indexed	9549	8266	11681	1504	1026	1764	1084998	1021732	1128795	1643770	1607465	1759006	1784765.0	1761767.0	1890507.3333333333	6994011	6902058	7413617	49355.25	48671.0	49682.25	1641547.5	1621938.5	1750342.75	27641.0	26163.25	28930.0	14706.0	13975.25	14756.75	12359.25	9190.25	17837.0	129	16838	17678	17095	33934	10401	65	262	259	258	65	454	388	389	0	323	258	257	8451	260	1429	449	648	1761998	56975	199052	4730	2380
Chain	64	Generic	Active	Scan	11321	8768	15682	1318	1141	1587	1099583	1020944	1125394	1822934	1738700	1879031	1932506.6666666667	1860735.0	2028598.3333333333	7686906	7335117	7964152	44647.25	43222.5	48705.0	1829773.25	1737841.0	1899813.25	27648.0	26980.25	30193.5	10302.25	9695.0	10870.0	5692.5	5451.5	8687.75	129	20934	21774	21191	42126	14625	0	0	0	0	0	0	0	0	0	323	258	257	12547	195	1429	449	259	2081460	67766	136089	4727	2380
Chain	64	Generic	Global	Indexed	9823	7731	15985	1439	1253	2057	1078807	1040000	1184844	2572710	2449523	2577544	2781473.3333333335	2722271.6666666665	2817051.3333333335	10915789	10750787	11016409	49134.75	48752.0	49303.25	2615017.0	2580666.75	2638299.0	33969.75	26714.25	39340.0	15299.5	14795.75	16449.5	12198.25	5693.5	12954.5	129	14949	21901	21318	30156	10660	6369	17160	259	258	65	8903	15145	8838	0	323	0	6369	6434	260	1429	449	9097	2043456	70980	196900	4730	2380
Chain	64	Generic	Global	Scan	9111	7430	14353	1471	1363	2269	1177045	1159044	1181477	30368928	29656078	31055190	32886393.333333332	32004238.0	36580667.666666664	129724514	125684602	140119724	52353.25	51071.75	55568.5	32333558.25	31319128.25	34929712.25	26669.75	26313.25	27091.25	11390.75	11111.0	12492.75	5961.0	5716.75	6240.75	129	460069	467021	466438	920396	466245	0	0	0	0	0	0	0	0	0	0	0	6369	451554	195	1429	449	259	47766780	1389399	125553	4727	2380
