stage	family	size	depth	variant	lifecycle_ns	lifecycle_ns_min	lifecycle_ns_max	prepare_ns	prepare_ns_min	prepare_ns_max	prepared_drop_ns	prepared_drop_ns_min	prepared_drop_ns_max	harness_ns	harness_ns_min	harness_ns_max	first_query_ns	first_query_ns_min	first_query_ns_max	reused_query_ns	reused_query_ns_min	reused_query_ns_max	setup_ns	setup_ns_min	setup_ns_max	execution_ns	execution_ns_min	execution_ns_max	observe_ns	observe_ns_min	observe_ns_max	engine_drop_ns	engine_drop_ns_min	engine_drop_ns_max	answer_drop_ns	answer_drop_ns_min	answer_drop_ns_max	work	setup_allocation_calls	setup_requested_bytes	execution_allocation_calls	execution_requested_bytes	observe_allocation_calls	observe_requested_bytes	engine_drop_allocation_calls	engine_drop_requested_bytes	answer_drop_allocation_calls	answer_drop_requested_bytes	query_peak_live_bytes	post_answer_live_bytes	prepared_released_bytes
after	independent	64	1	integrated	2836107	2700064	2869382	9647	8493	9989	1315	1226	2273	628400	590224	662717	733582	698266	750681	691751.3333333334	656056.6666666666	704898.3333333334	161021.75	149973.25	164987.25	499779.75	473689.5	505993.25	18489.0	17592.0	19673.25	16793.0	16145.75	17266.0	9130.25	8773.75	9683.75	"{""activations"": 320, ""applications"": 192, ""candidate_visits"": 256, ""descriptor_repairs"": 0, ""equality_steps"": 64, ""index_migrations"": 126, ""indexed_lookups"": 128, ""speculative_applications"": 0, ""steps"": 385}"	2873	248946	14615	436136	775	35318	0	0	0	0	238432	4715	2375
after	nested	8	1	generated-global-scan	194859	184662	202655	25609	24061	28860	1059	924	1249	95140	88340	103253	55743	54591	59703	37722.0	34991.333333333336	38962.333333333336	11715.5	11041.5	12439.5	22943.0	21887.0	24090.0	3458.25	3264.75	3579.25	2975.25	2802.25	3266.75	685.0	655.75	1171.25	"{""activation_pushes"": 0, ""applications"": 17, ""binding_slot_copies"": 156, ""candidate_visits"": 61, ""dependency_visits"": 0, ""dereferences"": 24, ""generic_template_visits"": 0, ""history_checks"": 53, ""index_bucket_entries"": 0, ""index_inserts"": 0, ""index_lookups"": 0, ""index_removes"": 0, ""index_repairs"": 0, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 0, ""key_template_visits"": 0, ""key_visits"": 0, ""map_allocations"": 27, ""map_visits"": 70, ""pairs"": 17, ""pool_entries"": 145, ""structural_tests"": 130, ""term_requests"": 42}"	163	12650	538	24912	98	3664	0	0	0	0	21438	4918	2578
after	nested	8	1	integrated	293215	281283	704335	7984	5127	10171	1343	829	1614	85159	83247	104450	94334	83077	458954	63836.666666666664	62951.333333333336	78228.33333333333	25683.25	23913.0	94100.5	36713.25	36027.5	65741.75	4017.75	3975.5	8225.25	3863.5	3427.75	4458.0	682.5	659.5	808.0	"{""activations"": 33, ""applications"": 17, ""candidate_visits"": 25, ""descriptor_repairs"": 11, ""equality_steps"": 16, ""index_migrations"": 0, ""indexed_lookups"": 16, ""speculative_applications"": 16, ""steps"": 61}"	401	36922	765	36529	100	4240	0	0	0	0	42452	4753	2424
after	nested	64	1	generated-global-scan	1713791	1669624	1785901	30938	16151	32196	1073	779	1339	595967	573969	631127	446128	412112	450615	413399.6666666667	404318.3333333333	436582.6666666667	66857.25	65050.5	70310.75	315009.25	308225.0	332911.5	20427.5	18513.25	22760.75	11489.75	10035.0	12670.25	4497.5	4202.25	4655.75	"{""activation_pushes"": 0, ""applications"": 129, ""binding_slot_copies"": 4804, ""candidate_visits"": 2273, ""dependency_visits"": 0, ""dereferences"": 192, ""generic_template_visits"": 0, ""history_checks"": 2209, ""index_bucket_entries"": 0, ""index_inserts"": 0, ""index_lookups"": 0, ""index_removes"": 0, ""index_repairs"": 0, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 0, ""key_template_visits"": 0, ""key_visits"": 0, ""map_allocations"": 306, ""map_visits"": 1248, ""pairs"": 129, ""pool_entries"": 8321, ""structural_tests"": 4610, ""term_requests"": 322}"	1032	99856	9550	371432	770	29366	0	0	0	0	116696	4919	2578
after	nested	64	1	integrated	2045312	1980508	2164699	9874	7164	10949	1375	1037	1855	642303	606400	671338	549268	524202	618420	487764.3333333333	473330.3333333333	511187.0	159855.0	155248.25	173691.5	296730.25	288072.75	320384.25	16774.0	16466.0	19158.25	23518.25	23320.0	25037.0	4316.75	4070.5	4518.25	"{""activations"": 257, ""applications"": 129, ""candidate_visits"": 193, ""descriptor_repairs"": 74, ""equality_steps"": 128, ""index_migrations"": 0, ""indexed_lookups"": 128, ""speculative_applications"": 128, ""steps"": 460}"	2801	278408	6193	353594	775	35318	0	0	0	0	268742	4754	2424
after	nested	64	8	generated-global-scan	2233699	2144357	2273848	22018	16296	25788	1314	1073	1391	1462303	1419546	1481490	576028	545264	604772	548645.3333333334	511637.6666666667	557077.3333333334	106359.5	102700.75	114202.0	340910.0	331409.5	348241.0	68166.5	64782.5	75282.5	12654.0	11916.0	13431.75	19017.25	17984.75	19111.5	"{""activation_pushes"": 0, ""applications"": 129, ""binding_slot_copies"": 4804, ""candidate_visits"": 2273, ""dependency_visits"": 0, ""dereferences"": 192, ""generic_template_visits"": 0, ""history_checks"": 2209, ""index_bucket_entries"": 0, ""index_inserts"": 0, ""index_lookups"": 0, ""index_removes"": 0, ""index_repairs"": 0, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 0, ""key_template_visits"": 0, ""key_visits"": 0, ""map_allocations"": 306, ""map_visits"": 1248, ""pairs"": 129, ""pool_entries"": 8321, ""structural_tests"": 4610, ""term_requests"": 770}"	1942	107591	9678	387304	3458	95222	0	0	0	0	183819	4919	2578
after	nested	64	8	integrated	2700655	2552012	2754984	9658	5840	10605	1403	831	1562	1501230	1440468	1560565	662607	648861	723574	660800.0	632160.0	682348.3333333334	223934.5	214014.75	227323.5	312811.25	299975.75	341015.5	75289.25	70152.25	86088.75	25189.0	23746.75	27881.0	19241.75	18691.5	20342.25	"{""activations"": 257, ""applications"": 129, ""candidate_visits"": 193, ""descriptor_repairs"": 74, ""equality_steps"": 128, ""index_migrations"": 0, ""indexed_lookups"": 128, ""speculative_applications"": 128, ""steps"": 460}"	4188	288414	6193	353594	3463	101174	0	0	0	0	338080	4754	2424
after	nested	256	1	generated-global-scan	17700708	17395735	17862400	26229	21443	31750	1836	1776	2117	2658675	2592950	2717147	4212787	4025477	4276170	4519229.333333333	4430990.333333333	4547215.333333333	257652.0	251625.5	262802.0	4007418.75	3934539.0	4039932.25	76642.75	76104.0	79715.5	57764.75	55154.0	61671.75	20464.5	19115.0	21121.75	"{""activation_pushes"": 0, ""applications"": 513, ""binding_slot_copies"": 68356, ""candidate_visits"": 33665, ""dependency_visits"": 0, ""dereferences"": 768, ""generic_template_visits"": 0, ""history_checks"": 33409, ""index_bucket_entries"": 0, ""index_inserts"": 0, ""index_lookups"": 0, ""index_removes"": 0, ""index_repairs"": 0, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 0, ""key_template_visits"": 0, ""key_visits"": 0, ""map_allocations"": 1846, ""map_visits"": 8334, ""pairs"": 513, ""pool_entries"": 131585, ""structural_tests"": 67586, ""term_requests"": 1282}"	3982	400220	112462	4075104	3074	117650	0	0	0	0	444758	4920	2578
after	nested	256	1	integrated	11269480	10947711	11784747	6634	5080	10244	1863	1571	2107	2504423	2446120	2650878	2781981	2678561	2947897	2809225.3333333335	2732080.6666666665	2942784.3333333335	642262.0	623596.5	704103.5	1902971.75	1863762.25	1999747.25	74661.0	73072.75	77263.0	128799.0	124120.75	131780.5	42345.5	39932.5	49072.5	"{""activations"": 1025, ""applications"": 513, ""candidate_visits"": 769, ""descriptor_repairs"": 278, ""equality_steps"": 512, ""index_migrations"": 0, ""indexed_lookups"": 512, ""speculative_applications"": 512, ""steps"": 1816}"	11002	1115756	28694	2193510	3081	142034	0	0	0	0	1077117	4755	2424
after	repair	64	1	integrated	780698	734926	829991	7016	5324	10009	1157	1033	1306	558348	526269	574351	215945	193905	218861	185150.33333333334	178198.0	200910.33333333334	107741.75	103342.0	119792.0	41699.0	39439.0	44022.25	24426.75	22610.25	26207.0	10870.75	10609.5	11093.0	6526.0	6065.5	7349.75	"{""activations"": 193, ""applications"": 1, ""candidate_visits"": 65, ""descriptor_repairs"": 0, ""equality_steps"": 1, ""index_migrations"": 0, ""indexed_lookups"": 64, ""speculative_applications"": 0, ""steps"": 195}"	1815	175116	1322	78544	839	35318	0	0	0	0	160550	4705	2375
before	batch	8	1	integrated	275251	253693	310492	9214	6931	14372	1124	944	1495	90145	83189	115809	80744	77998	95122	61038.666666666664	55578.333333333336	66624.66666666667	21210.75	20345.5	24457.5	36294.25	32789.5	39041.75	4095.5	3878.0	4686.5	3495.25	3400.5	4722.75	707.5	675.5	803.5	"{""activations"": 33, ""applications"": 17, ""candidate_visits"": 25, ""descriptor_repairs"": 8, ""equality_steps"": 9, ""index_migrations"": 7, ""indexed_lookups"": 16, ""speculative_applications"": 14, ""steps"": 51}"	336	32482	706	35304	100	4240	0	0	0	0	40463	4702	2375
before	batch	64	1	integrated	1718118	1667008	1880202	6478	5591	10302	1093	815	1277	622248	593787	664059	470098	445804	513175	418734.0	401431.6666666667	455669.6666666667	123065.75	121852.5	134095.25	257160.5	246938.75	283005.0	22664.5	21034.0	24509.0	15235.0	14288.0	16209.75	10461.0	9491.25	11473.0	"{""activations"": 257, ""applications"": 129, ""candidate_visits"": 193, ""descriptor_repairs"": 64, ""equality_steps"": 65, ""index_migrations"": 63, ""indexed_lookups"": 128, ""speculative_applications"": 126, ""steps"": 387}"	2277	233808	5486	397432	775	35318	0	0	0	0	277862	4703	2375
before	batch	64	8	integrated	2264062	2207712	2291985	10711	10045	13233	1304	1002	11237	1458288	1421829	1531996	605845	576623	610832	548897.3333333334	537819.6666666666	554672.3333333334	174734.25	173269.5	190619.25	270184.0	267470.75	277663.0	73691.5	72959.75	84309.5	15456.75	15287.25	15955.75	18816.75	17142.0	20379.5	"{""activations"": 257, ""applications"": 129, ""candidate_visits"": 193, ""descriptor_repairs"": 64, ""equality_steps"": 65, ""index_migrations"": 63, ""indexed_lookups"": 128, ""speculative_applications"": 126, ""steps"": 387}"	3664	243814	5486	397432	3463	101174	0	0	0	0	348104	4703	2375
