kind,rep,family,n,rounds,mode,total_ns,preparation_ns,setup_ns,execution_ns,observation_ns,disposal_ns,first_cold_ns,cancellation_ns,requested_bytes,peak_increment_bytes
time,0,binding,4,2,indexed,525294,53919,167935,117486,118886,67068,239742,141723,,
time,0,dense,4,8,subscribed,1167921,12188,30433,339919,371381,414000,375579,52293,,
time,0,churn-broad,4,2,eager,1032711,58586,533405,223099,123857,93764,479249,346269,,
time,0,binding,4,2,eager,879607,54481,476784,144185,118243,85914,394872,325451,,
time,0,churn-broad,2,8,indexed,396000,37935,141665,106597,66307,43496,177723,101282,,
time,0,selective,4,2,indexed,56011,12574,22375,5450,8626,6986,29653,16181,,
time,0,reopen,2,2,subscribed,178923,21292,77517,30948,29151,20015,86159,73660,,
time,0,churn-broad,4,8,subscribed,1857720,21932,351559,857868,412353,214008,759541,317073,,
time,0,binding,2,2,indexed,175900,20942,73907,34160,28071,18820,85132,63483,,
time,0,consuming,2,8,compiled,385250,24910,47734,285160,15424,12022,199190,28740,,
time,0,unique,2,2,subscribed,186397,21250,76751,37256,29860,21280,87006,79025,,
time,0,unique,4,2,subscribed,601862,53565,174870,185117,125384,62926,276091,172302,,
time,0,binding,2,8,subscribed,303690,34486,95941,73961,60759,38543,141483,86467,,
time,0,inactive,4,2,subscribed,568361,56390,174207,135366,129708,72690,256816,147550,,
time,0,selective,2,2,eager,45872,14618,15138,4439,6252,5425,27335,11561,,
time,0,dense,2,8,indexed,207844,24485,36246,68639,51200,27274,82366,42713,,
time,0,dense,2,2,subscribed,81537,15991,15930,23584,16951,9081,42462,23103,,
time,0,unique,4,8,eager,1682074,152965,615806,307860,386863,218580,740864,409602,,
time,0,dense,2,2,compiled,241974,23385,22708,173728,12852,9301,125369,18329,,
time,0,churn-sparse,4,2,compiled,7090212,53046,155984,6751748,78718,50716,3524431,112859,,
time,0,consuming,2,2,subscribed,76906,19676,15619,28036,7313,6262,45793,23079,,
time,0,consuming,4,2,subscribed,216778,26507,27455,138320,15484,9012,114392,48748,,
time,0,unique,2,8,indexed,346954,35989,118199,81058,67759,43949,153456,99387,,
time,0,selective,4,8,subscribed,93000,14299,29310,16816,14428,18147,44712,26556,,
time,0,binding,2,8,indexed,331241,38791,105764,78830,66855,41001,156002,92118,,
time,0,dense,2,2,eager,79787,14902,21699,16450,16103,10633,39193,22629,,
time,0,inactive,2,2,indexed,172134,24188,77904,18266,30810,20966,88608,53677,,
time,0,churn-broad,2,8,compiled,2876722,42189,152861,2599752,47342,34578,1426980,109790,,
time,0,consuming,2,8,subscribed,181759,22131,38286,89462,19056,12824,95811,39124,,
time,0,consuming,4,8,eager,568793,28277,99156,379670,31812,29878,289578,67055,,
time,0,unique,4,2,compiled,8125063,54463,151473,7786323,79608,53196,4077666,134420,,
time,0,inactive,2,8,subscribed,287161,33574,97321,58144,61884,36238,134951,77948,,
time,0,churn-sparse,2,8,subscribed,360324,37417,117047,100496,65302,40062,170197,97517,,
time,0,consuming,2,8,indexed,144309,21541,37947,51182,15999,17640,72475,31119,,
time,0,churn-sparse,4,8,subscribed,1536461,154143,289885,487851,400652,203930,680118,258545,,
time,0,dense,2,8,eager,187340,25203,35212,47637,53526,25762,83024,39267,,
time,0,reopen,4,8,indexed,1374342,173913,275672,316793,396793,211171,610152,231352,,
time,0,reopen,2,2,compiled,717307,31528,77739,568193,19972,19875,354093,56913,,
time,0,churn-sparse,4,2,subscribed,609392,63679,178233,172527,125263,69690,278948,156454,,
time,0,churn-sparse,4,8,compiled,24957331,119030,272718,24158493,259605,147485,12387578,223798,,
time,0,reopen,4,8,eager,1755252,170506,647896,309963,401016,225871,779724,410260,,
time,0,inactive,2,2,compiled,579598,29318,74884,437689,19000,18707,292892,54133,,
time,0,selective,2,2,compiled,134136,35398,26970,61245,3623,6900,84443,16167,,
time,0,churn-broad,2,2,indexed,181017,21844,81348,26835,28944,22046,85646,67466,,
time,0,churn-sparse,2,2,eager,232616,23252,128965,27685,29502,23212,113459,92275,,
time,0,inactive,2,8,compiled,1524190,39229,98208,1313192,41568,31993,756504,76825,,
time,0,dense,4,8,eager,1082327,14122,176102,297898,389803,204402,370208,180239,,
time,0,selective,4,8,compiled,252357,23819,37104,169211,9636,12587,132358,29515,,
time,0,selective,4,2,subscribed,65943,12788,26399,10369,8984,7403,35288,17487,,
time,0,inactive,4,2,indexed,512868,54245,172763,86670,131194,67996,221901,122006,,
time,0,binding,2,2,subscribed,201340,22227,84681,43663,29386,21383,99696,70261,,
time,0,inactive,2,2,eager,207688,21904,120465,14490,28572,22257,98463,77216,,
time,0,churn-broad,4,2,compiled,9704066,53641,179386,9333251,82442,55346,4838374,123155,,
time,0,unique,2,8,compiled,3071236,41176,120508,2833927,41547,34078,1520938,84286,,
time,0,selective,2,8,indexed,69090,13176,20899,14320,12494,8201,36034,19514,,
time,0,reopen,2,8,eager,369040,36660,164608,56206,64936,46630,174699,108439,,
time,0,consuming,4,8,compiled,991977,31261,79476,835284,28055,17901,514346,53329,,
time,0,churn-sparse,2,8,indexed,334001,37208,116617,76293,62689,41194,157518,90257,,
time,0,dense,4,2,subscribed,396537,41004,53769,151086,100847,49831,171862,72638,,
time,1,dense,2,2,eager,77524,14379,19927,16774,16459,9985,38858,21790,,
time,1,selective,4,8,eager,81305,14040,31519,12137,13227,10382,41934,29331,,
time,1,churn-sparse,2,2,indexed,197467,24206,91459,26917,32136,22749,95806,54682,,
time,1,churn-broad,4,2,eager,1038041,60713,533095,223490,124179,96564,485620,362926,,
time,1,churn-broad,2,2,indexed,182121,22532,82146,27193,29272,20978,86987,65395,,
time,1,churn-broad,4,2,subscribed,744917,58049,194913,267429,144333,80193,347379,204720,,
time,1,unique,2,8,indexed,330048,36867,112392,78955,62863,38971,157355,87748,,
time,1,selective,2,2,subscribed,45482,11450,14534,8093,6109,5296,25752,12295,,
time,1,selective,4,8,compiled,253812,25370,37502,170009,9812,11119,136070,27363,,
time,1,inactive,4,2,indexed,493773,54908,166248,83814,125098,63705,225974,124153,,
