kind,size,reverse,reuse,query,lookups,hits,inserts
known-miss,32,false,MatchDependencies,b,0,0,0
delayed-hit,32,false,CurrentContext,a,0,0,0
delayed-hit,32,false,StaticBirth,a,0,0,0
delayed-hit,32,false,MatchDependencies,a,0,0,0
delayed-hit,32,false,CurrentContext,b,0,0,0
delayed-hit,32,false,StaticBirth,b,0,0,0
delayed-hit,32,false,MatchDependencies,b,0,0,0
delayed-miss,32,false,CurrentContext,a,0,0,0
delayed-miss,32,false,StaticBirth,a,0,0,0
delayed-miss,32,false,MatchDependencies,a,0,0,0
delayed-miss,32,false,CurrentContext,b,0,0,0
delayed-miss,32,false,StaticBirth,b,0,0,0
delayed-miss,32,false,MatchDependencies,b,0,0,0
plain,32,true,CurrentContext,a,0,0,0
plain,32,true,StaticBirth,a,0,0,0
plain,32,true,MatchDependencies,a,0,0,0
plain,32,true,CurrentContext,b,0,0,0
plain,32,true,StaticBirth,b,0,0,0
plain,32,true,MatchDependencies,b,0,0,0
known-hit,32,true,CurrentContext,a,0,0,0
known-hit,32,true,StaticBirth,a,0,0,0
known-hit,32,true,MatchDependencies,a,0,0,0
known-hit,32,true,CurrentContext,b,0,0,0
known-hit,32,true,StaticBirth,b,0,0,0
known-hit,32,true,MatchDependencies,b,0,0,0
known-miss,32,true,CurrentContext,a,0,0,0
known-miss,32,true,StaticBirth,a,0,0,0
known-miss,32,true,MatchDependencies,a,0,0,0
known-miss,32,true,CurrentContext,b,0,0,0
known-miss,32,true,StaticBirth,b,0,0,0
known-miss,32,true,MatchDependencies,b,0,0,0
delayed-hit,32,true,CurrentContext,a,0,0,0
delayed-hit,32,true,StaticBirth,a,0,0,0
delayed-hit,32,true,MatchDependencies,a,0,0,0
delayed-hit,32,true,CurrentContext,b,0,0,0
delayed-hit,32,true,StaticBirth,b,0,0,0
delayed-hit,32,true,MatchDependencies,b,0,0,0
delayed-miss,32,true,CurrentContext,a,0,0,0
delayed-miss,32,true,StaticBirth,a,0,0,0
delayed-miss,32,true,MatchDependencies,a,0,0,0
delayed-miss,32,true,CurrentContext,b,0,0,0
delayed-miss,32,true,StaticBirth,b,0,0,0
delayed-miss,32,true,MatchDependencies,b,0,0,0
plain,128,false,CurrentContext,a,0,0,0
plain,128,false,StaticBirth,a,0,0,0
plain,128,false,MatchDependencies,a,0,0,0
plain,128,false,CurrentContext,b,0,0,0
plain,128,false,StaticBirth,b,0,0,0
plain,128,false,MatchDependencies,b,0,0,0
known-hit,128,false,CurrentContext,a,0,0,0
known-hit,128,false,StaticBirth,a,0,0,0
known-hit,128,false,MatchDependencies,a,0,0,0
known-hit,128,false,CurrentContext,b,0,0,0
known-hit,128,false,StaticBirth,b,0,0,0
known-hit,128,false,MatchDependencies,b,0,0,0
known-miss,128,false,CurrentContext,a,0,0,0
known-miss,128,false,StaticBirth,a,0,0,0
known-miss,128,false,MatchDependencies,a,0,0,0
known-miss,128,false,CurrentContext,b,0,0,0
known-miss,128,false,StaticBirth,b,0,0,0
known-miss,128,false,MatchDependencies,b,0,0,0
delayed-hit,128,false,CurrentContext,a,0,0,0
delayed-hit,128,false,StaticBirth,a,0,0,0
delayed-hit,128,false,MatchDependencies,a,0,0,0
delayed-hit,128,false,CurrentContext,b,0,0,0
delayed-hit,128,false,StaticBirth,b,0,0,0
delayed-hit,128,false,MatchDependencies,b,0,0,0
delayed-miss,128,false,CurrentContext,a,0,0,0
delayed-miss,128,false,StaticBirth,a,0,0,0
delayed-miss,128,false,MatchDependencies,a,0,0,0
delayed-miss,128,false,CurrentContext,b,0,0,0
delayed-miss,128,false,StaticBirth,b,0,0,0
delayed-miss,128,false,MatchDependencies,b,0,0,0
plain,128,true,CurrentContext,a,0,0,0
plain,128,true,StaticBirth,a,0,0,0
plain,128,true,MatchDependencies,a,0,0,0
plain,128,true,CurrentContext,b,0,0,0
plain,128,true,StaticBirth,b,0,0,0
plain,128,true,MatchDependencies,b,0,0,0
known-hit,128,true,CurrentContext,a,0,0,0
known-hit,128,true,StaticBirth,a,0,0,0
known-hit,128,true,MatchDependencies,a,0,0,0
known-hit,128,true,CurrentContext,b,0,0,0
known-hit,128,true,StaticBirth,b,0,0,0
known-hit,128,true,MatchDependencies,b,0,0,0
known-miss,128,true,CurrentContext,a,0,0,0
known-miss,128,true,StaticBirth,a,0,0,0
known-miss,128,true,MatchDependencies,a,0,0,0
known-miss,128,true,CurrentContext,b,0,0,0
known-miss,128,true,StaticBirth,b,0,0,0
known-miss,128,true,MatchDependencies,b,0,0,0
delayed-hit,128,true,CurrentContext,a,0,0,0
delayed-hit,128,true,StaticBirth,a,0,0,0
delayed-hit,128,true,MatchDependencies,a,0,0,0
delayed-hit,128,true,CurrentContext,b,0,0,0
delayed-hit,128,true,StaticBirth,b,0,0,0
delayed-hit,128,true,MatchDependencies,b,0,0,0
delayed-miss,128,true,CurrentContext,a,0,0,0
delayed-miss,128,true,StaticBirth,a,0,0,0
delayed-miss,128,true,MatchDependencies,a,0,0,0
delayed-miss,128,true,CurrentContext,b,0,0,0
delayed-miss,128,true,StaticBirth,b,0,0,0
delayed-miss,128,true,MatchDependencies,b,0,0,0
