
running 1 test
test registered_work_attribution ... WORK_HEADER,policy,family,bits,depth,work_first,resource,answers,graph_boxes,demand_boxes,demand_work_results
WORK,CurrentContext,discriminate,3,32,false,true,8,256,256,264
WORK,StaticBirth,discriminate,3,32,false,true,8,256,256,264
WORK,CurrentContext,discriminate,3,32,true,false,8,256,256,264
WORK,StaticBirth,discriminate,3,32,true,false,8,256,256,264
WORK,CurrentContext,discriminate,3,32,true,true,8,256,256,264
WORK,StaticBirth,discriminate,3,32,true,true,8,256,256,264
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 0 filtered out; finished in 0.16s

