mode,family,n,reuse,consumer,requested_bytes,peak_above_start,consumer_retained_bytes
resumable,late,3,1,prepared,199357,25822,2752
resumable,late,3,4,query,745732,25822,0
resumable,late,3,4,prepared,745732,34078,11008
resumable,history,0,1,query,12235,6913,0
resumable,history,0,1,prepared,12235,7064,151
resumable,history,0,4,query,23494,6913,0
resumable,history,0,4,prepared,23494,7517,604
resumable,history,1,1,query,169318,29506,0
resumable,history,1,1,prepared,169318,29506,8812
resumable,history,1,4,query,619423,29506,0
resumable,history,1,4,prepared,619423,55942,35248
resumable,history,3,1,query,1924370,143982,0
resumable,history,3,1,prepared,1924370,143982,102496
resumable,history,3,4,query,7574675,143982,0
resumable,history,3,4,prepared,7574675,451470,409984
resumable,deep,0,1,query,13051,7729,0
resumable,deep,0,1,prepared,13051,7880,151
resumable,deep,0,4,query,24310,7729,0
resumable,deep,0,4,prepared,24310,8333,604
resumable,deep,1,1,query,73214,20789,0
resumable,deep,1,1,prepared,73214,20789,3764
resumable,deep,1,4,query,256547,20789,0
resumable,deep,1,4,prepared,256547,32081,15056
resumable,deep,3,1,query,557402,85386,0
resumable,deep,3,1,prepared,557402,85386,41600
resumable,deep,3,4,query,2175767,85386,0
resumable,deep,3,4,prepared,2175767,210186,166400
resumable,stable_history,0,1,query,4299,2503,0
resumable,stable_history,0,1,prepared,4299,2654,151
resumable,stable_history,0,4,query,9198,2503,0
resumable,stable_history,0,4,prepared,9198,3107,604
resumable,stable_history,1,1,query,47782,14683,0
resumable,stable_history,1,1,prepared,47782,14683,3491
resumable,stable_history,1,4,query,152821,14683,0
resumable,stable_history,1,4,prepared,152821,25156,13964
resumable,stable_history,3,1,query,120854,35723,0
resumable,stable_history,3,1,prepared,120854,35723,10211
resumable,stable_history,3,4,query,408629,35723,0
resumable,stable_history,3,4,prepared,408629,66356,40844
resumable,reset_history,0,1,query,4491,2695,0
resumable,reset_history,0,1,prepared,4491,2846,151
resumable,reset_history,0,4,query,9390,2695,0
resumable,reset_history,0,4,prepared,9390,3299,604
resumable,reset_history,1,1,query,179718,14939,0
resumable,reset_history,1,1,prepared,179718,14939,3491
resumable,reset_history,1,4,query,679701,14939,0
resumable,reset_history,1,4,prepared,679701,25412,13964
resumable,reset_history,3,1,query,1204086,35979,0
resumable,reset_history,3,1,prepared,1204086,35979,10211
resumable,reset_history,3,4,query,4740693,35979,0
resumable,reset_history,3,4,prepared,4740693,66612,40844
resumable,dense,0,1,query,4544,2641,0
resumable,dense,0,1,prepared,4544,2792,151
resumable,dense,0,4,query,9602,2641,0
resumable,dense,0,4,prepared,9602,3245,604
resumable,dense,1,1,query,14603,5009,0
resumable,dense,1,1,prepared,14603,5398,653
resumable,dense,1,4,query,39806,5009,0
resumable,dense,1,4,prepared,39806,7357,2612
resumable,dense,3,1,query,71647,15240,0
resumable,dense,3,1,prepared,71647,15240,5305
resumable,dense,3,4,query,264214,15240,0
resumable,dense,3,4,prepared,264214,31155,21220
