family	size	execution	policy	access	before_median_ns	before_min_ns	before_max_ns	before_execution_ns	before_applications	before_candidate_visits	before_generic_template_visits	before_structural_tests	before_binding_slot_copies	before_pool_entries	before_index_bucket_entries	before_index_lookups	before_index_repairs	before_index_inserts	before_index_removes	before_key_visits	before_key_template_visits	before_key_normalization_requests	before_key_normalization_allocations	before_dependency_visits	before_activation_pushes	before_history_checks	before_pairs	before_dereferences	before_map_visits	before_map_allocations	before_term_requests	before_execution_allocations	before_execution_requested_bytes	after_median_ns	after_min_ns	after_max_ns	after_execution_ns	after_applications	after_candidate_visits	after_generic_template_visits	after_structural_tests	after_binding_slot_copies	after_pool_entries	after_index_bucket_entries	after_index_lookups	after_index_repairs	after_index_inserts	after_index_removes	after_key_visits	after_key_template_visits	after_key_normalization_requests	after_key_normalization_allocations	after_dependency_visits	after_activation_pushes	after_history_checks	after_pairs	after_dereferences	after_map_visits	after_map_allocations	after_term_requests	after_execution_allocations	after_execution_requested_bytes	lifecycle_ratio_after_before	ranges_overlap
Chain	64	Generated	Global	Indexed	10407116	10322925	10976188	2489636.25	129	14949	0	21318	30156	10660	6369	17160	259	258	65	8903	15145	8838	0	323	0	6369	6434	260	1429	449	9097	70980	2043456	10391183	9963795	11149209	2488737.0	129	14949	0	21318	30156	10660	6369	17160	259	258	65	8903	15145	8838	0	323	0	6369	6434	260	1429	449	9097	70980	2043456	0.9984690283071698	True
Chain	64	Generated	Global	Scan	122515938	119433423	131140895	30526971.0	129	460069	0	466438	920396	466245	0	0	0	0	0	0	0	0	0	0	0	6369	451554	195	1429	449	259	1389399	47766780	121857439	117049501	123424035	30360151.0	129	460069	0	466438	920396	466245	0	0	0	0	0	0	0	0	0	0	0	6369	451554	195	1429	449	259	1389399	47766780	0.9946251972539278	True
Chain	64	Generic	Active	Indexed	7140748	6986995	7249484	1676788.5	129	16838	17678	17095	33934	10401	65	262	259	258	65	454	388	389	0	323	258	257	8451	260	1429	449	648	56975	1761998	2270469	2224533	2334221	467333.0	129	772	1804	1221	1802	0	257	646	259	258	65	646	388	581	0	323	258	257	706	455	2407	449	840	9353	480390	0.31795954709506624	False
Chain	64	Generic	Active	Scan	7904925	7585376	8074316	1878426.0	129	20934	21774	21191	42126	14625	0	0	0	0	0	0	0	0	0	323	258	257	12547	195	1429	449	259	67766	2081460	5367395	5093642	5721383	1243390.75	129	12997	14029	13446	26252	14625	0	0	0	0	0	0	0	0	0	323	258	257	12931	390	2407	449	259	44147	1520748	0.6789937918449575	False
Chain	64	Generic	Global	Indexed	11138673	10840713	11749220	2674090.5	129	14949	21901	21318	30156	10660	6369	17160	259	258	65	8903	15145	8838	0	323	0	6369	6434	260	1429	449	9097	70980	2043456	10580511	10292157	11139363	2551263.0	129	14949	21901	21318	30156	10660	6369	17160	259	258	65	8903	15145	8838	0	323	0	6369	6434	260	1429	449	9097	70980	2043456	0.949889722052169	True
Chain	64	Generic	Global	Scan	132664178	127855917	135948453	33055958.5	129	460069	467021	466438	920396	466245	0	0	0	0	0	0	0	0	0	0	0	6369	451554	195	1429	449	259	1389399	47766780	133946517	131016935	137499197	33382543.75	129	460069	467021	466438	920396	466245	0	0	0	0	0	0	0	0	0	0	0	6369	451554	195	1429	449	259	1389399	47766780	1.0096660531827966	True
Collision	8	Generated	Active	Indexed	127133	110147	130616	20777.5	10	55	0	54	63	16	26	6	12	10	0	13	19	13	0	10	20	36	35	0	0	0	23	481	18851	152466	123884	193250	26039.5	10	71	0	70	79	0	42	38	12	10	0	29	19	29	0	10	20	36	51	0	0	0	39	561	19907	1.1992637631456822	True
Collision	8	Generated	Active	Scan	117499	102195	153790	17943.25	10	55	0	54	63	42	0	0	0	0	0	0	0	0	0	10	20	36	35	0	0	0	10	431	16265	117147	109035	131913	18706.75	10	71	0	70	79	42	0	0	0	0	0	0	0	0	0	10	20	36	51	0	0	0	10	479	17289	0.9970042298232326	True
Collision	8	Generated	Global	Indexed	131476	117083	156391	19543.5	10	74	0	73	82	12	90	22	12	10	0	21	22	21	0	10	0	63	62	0	0	0	31	502	18299	123543	105848	135985	18051.0	10	74	0	73	82	12	90	22	12	10	0	21	22	21	0	10	0	63	62	0	0	0	31	502	18299	0.9396619915421826	True
Collision	8	Generated	Global	Scan	93168	85888	112063	12836.75	10	74	0	73	82	102	0	0	0	0	0	0	0	0	0	0	0	63	62	0	0	0	10	415	14129	92340	87040	107560	12744.75	10	74	0	73	82	102	0	0	0	0	0	0	0	0	0	0	0	63	62	0	0	0	10	415	14129	0.991112828438949	True
Collision	8	Generic	Active	Indexed	130149	124603	155774	21470.0	10	55	83	54	63	16	26	6	12	10	0	13	19	13	0	10	20	36	35	0	0	0	23	481	18851	137068	122044	181629	23276.75	10	71	99	70	79	0	42	38	12	10	0	29	19	29	0	10	20	36	51	0	0	0	39	561	19907	1.0531621449261999	True
Collision	8	Generic	Active	Scan	99726	96637	137659	16494.0	10	55	83	54	63	42	0	0	0	0	0	0	0	0	0	10	20	36	35	0	0	0	10	431	16265	123890	102126	136299	21077.0	10	71	99	70	79	42	0	0	0	0	0	0	0	0	0	10	20	36	51	0	0	0	10	479	17289	1.242303912720855	True
Collision	8	Generic	Global	Indexed	127507	121970	143435	20316.25	10	74	102	73	82	12	90	22	12	10	0	21	22	21	0	10	0	63	62	0	0	0	31	502	18299	118505	103705	132939	19663.0	10	74	102	73	82	12	90	22	12	10	0	21	22	21	0	10	0	63	62	0	0	0	31	502	18299	0.9293999545123013	True
Collision	8	Generic	Global	Scan	96487	83408	114911	14102.75	10	74	102	73	82	102	0	0	0	0	0	0	0	0	0	0	0	63	62	0	0	0	10	415	14129	88996	84533	108532	13593.0	10	74	102	73	82	102	0	0	0	0	0	0	0	0	0	0	0	63	62	0	0	0	10	415	14129	0.9223625980702064	True
Collision	64	Generated	Active	Indexed	655380	633679	733730	128877.0	66	391	0	390	455	128	194	6	68	66	0	69	131	69	0	66	132	260	259	0	0	0	135	3249	125427	704645	702087	836592	145814.75	66	519	0	518	583	0	322	262	68	66	0	197	131	197	0	66	132	260	387	0	0	0	263	3889	133875	1.0751701303060819	True
Collision	64	Generated	Active	Scan	569288	555982	716117	112171.0	66	391	0	390	455	322	0	0	0	0	0	0	0	0	0	66	132	260	259	0	0	0	66	2957	110225	628111	593547	676384	126008.5	66	519	0	518	583	322	0	0	0	0	0	0	0	0	0	66	132	260	387	0	0	0	66	3341	118417	1.1033273141186886	True
Collision	64	Generated	Global	Indexed	1174950	1151299	1256291	258657.25	66	2342	0	2341	2406	68	4290	134	68	66	0	133	134	133	0	66	0	2275	2274	0	0	0	199	10645	291435	1185033	1156143	1543776	263795.25	66	2342	0	2341	2406	68	4290	134	68	66	0	133	134	133	0	66	0	2275	2274	0	0	0	199	10645	291435	1.0085816417719904	True
Collision	64	Generated	Global	Scan	1070175	1035521	1157825	233902.75	66	2342	0	2341	2406	4358	0	0	0	0	0	0	0	0	0	0	0	2275	2274	0	0	0	66	10083	264409	1127433	1051437	1395309	246892.5	66	2342	0	2341	2406	4358	0	0	0	0	0	0	0	0	0	0	0	2275	2274	0	0	0	66	10083	264409	1.0535033989768028	True
Collision	64	Generic	Active	Indexed	703650	643111	732626	142659.0	66	391	587	390	455	128	194	6	68	66	0	69	131	69	0	66	132	260	259	0	0	0	135	3249	125427	711029	697428	834596	149338.0	66	519	715	518	583	0	322	262	68	66	0	197	131	197	0	66	132	260	387	0	0	0	263	3889	133875	1.0104867476728487	True
Collision	64	Generic	Active	Scan	591274	557649	670733	115853.25	66	391	587	390	455	322	0	0	0	0	0	0	0	0	0	66	132	260	259	0	0	0	66	2957	110225	644432	626646	708206	129239.75	66	519	715	518	583	322	0	0	0	0	0	0	0	0	0	66	132	260	387	0	0	0	66	3341	118417	1.0899041730229977	True
Collision	64	Generic	Global	Indexed	1287263	1200804	1386413	289367.0	66	2342	2538	2341	2406	68	4290	134	68	66	0	133	134	133	0	66	0	2275	2274	0	0	0	199	10645	291435	1230098	1196988	1335178	275279.75	66	2342	2538	2341	2406	68	4290	134	68	66	0	133	134	133	0	66	0	2275	2274	0	0	0	199	10645	291435	0.9555918254467036	True
Collision	64	Generic	Global	Scan	1148463	1088457	1251680	258205.5	66	2342	2538	2341	2406	4358	0	0	0	0	0	0	0	0	0	0	0	2275	2274	0	0	0	66	10083	264409	1122803	1067467	1153281	250060.0	66	2342	2538	2341	2406	4358	0	0	0	0	0	0	0	0	0	0	0	2275	2274	0	0	0	66	10083	264409	0.977657094743148	True
Delayed	8	Generated	Active	Indexed	542356	540192	604435	112641.25	25	302	0	350	654	116	25	74	59	50	25	112	93	87	0	83	59	48	167	216	635	92	122	2341	111138	499226	491494	539726	100809.25	25	139	0	218	328	8	40	120	59	50	25	143	93	110	0	83	59	48	104	162	440	92	145	1857	96976	0.9204765873337808	False
Delayed	8	Generated	Active	Scan	501134	475236	553221	99156.75	25	439	0	487	928	321	0	0	0	0	0	0	0	0	0	83	59	48	304	320	976	92	35	2434	103868	499115	483709	535912	99547.25	25	369	0	448	788	321	0	0	0	0	0	0	0	0	0	83	59	48	334	258	773	92	35	2191	96980	0.9959711374602401	True
Delayed	8	Generated	Global	Indexed	627928	590941	665942	129670.75	25	341	0	466	732	252	117	432	59	50	25	291	395	266	0	83	0	125	143	192	608	102	301	2568	110536	579412	572567	690214	121880.25	25	341	0	466	732	252	117	432	59	50	25	291	395	266	0	83	0	125	143	192	608	102	301	2568	110536	0.922736364678753	True
Delayed	8	Generated	Global	Scan	717710	690451	803123	153400.5	25	1453	0	1578	2956	1545	0	0	0	0	0	0	0	0	0	0	0	125	1255	1327	4730	102	35	5125	181868	676878	672260	756584	148598.25	25	1453	0	1578	2956	1545	0	0	0	0	0	0	0	0	0	0	0	125	1255	1327	4730	102	35	5125	181868	0.9431079405330844	True
