kind,rep,family,mode,reuse,total_ns,execution_ns,setup_ns,preparation_ns,disposal_ns,first_prepared_owner_ns,cancel_ns,requested_bytes,peak_increment_bytes
time,0,compatible-alias,replay,8,879399,798825,71628,3170,5776,101384,94577,,
time,0,work,copy,1,2576704,2542394,2286,26207,5817,2553752,2459122,,
time,0,compatible-alias,indexed-cow,1,149589,116445,12131,19436,1577,147899,128707,,
time,0,small,checkpoint16,1,1045966,1030400,2034,9568,3964,1022023,1134425,,
time,0,compatible-alias,checkpoint16,8,793532,728194,55951,3267,6120,100573,96941,,
time,0,retained,indexed-cow,8,6272895,5264919,714135,27561,266280,537235,626460,,
time,0,deep,checkpoint16,8,139021154,138452555,47323,67730,453546,15193461,16110995,,
time,0,late,checkpoint4,1,3427492,3399626,11321,12487,4058,3423306,3289292,,
time,0,work,indexed,1,1085596,1020291,10059,50066,5180,1047747,1036220,,
time,0,early,checkpoint4,8,4806235,4667679,114109,8386,16061,633530,589010,,
time,0,retained,copy,8,4031932,3425698,379726,10739,215769,342127,380921,,
time,0,small,indexed,1,244398,203533,6712,29839,4314,222541,252102,,
time,0,compatible-large,replay,1,645344,547174,95544,332,2294,642922,635994,,
time,0,work,checkpoint1,8,18916172,18877454,9046,5225,24447,2374736,2406222,,
time,0,small,indexed-cow,1,211159,179013,5783,22822,3541,193837,183896,,
time,0,retained,checkpoint1,1,769583,710313,20016,11106,28148,628749,680116,,
time,0,deep,replay,1,84959141,84853336,3410,64732,37663,79577099,80700672,,
time,0,small,checkpoint16,8,9189073,9144414,9866,9506,25287,1138129,1131109,,
time,0,compatible-small,replay,8,217900,182173,28639,311,6777,28835,28681,,
time,0,spine,checkpoint1,1,211337,194864,2540,9889,4044,46600,35154,,
time,0,work,replay,1,339357320,339327018,3945,19569,6788,335999030,322380600,,
time,0,work,copy,8,17744691,17701445,8611,12791,21844,2226328,2187754,,
time,0,early,trail,1,568878,541781,9484,11067,6546,562204,542807,,
time,0,compatible-small,trail,1,29278,23149,3727,329,2073,27116,28717,,
time,0,compatible-small,copy,8,217753,176490,34573,339,6351,26738,21547,,
time,0,mutation,checkpoint1,8,111432914,110730741,409950,23381,268842,13618349,13855960,,
time,0,mutation,replay,1,2029638920,2029559902,21813,19542,37663,2020068027,1999046335,,
time,0,compatible-large,trail,1,654645,551591,98120,288,4646,649880,625521,,
