built False time
built False meter
built True time
built True meter
94 {'source': 'flat', 'mode': 'templates', 'enabled': False, 'resource': True, 'demand': 32, 'keep': '0'} time 0 0
95 {'source': 'flat', 'mode': 'templates', 'enabled': False, 'resource': True, 'demand': 32, 'keep': 'all'} time 0 0
96 {'source': 'flat', 'mode': 'templates', 'enabled': True, 'resource': False, 'demand': 1, 'keep': '0'} time 0 0
97 {'source': 'flat', 'mode': 'templates', 'enabled': True, 'resource': False, 'demand': 1, 'keep': 'all'} time 0 0
98 {'source': 'flat', 'mode': 'templates', 'enabled': True, 'resource': False, 'demand': 32, 'keep': '0'} time 0 0
99 {'source': 'flat', 'mode': 'templates', 'enabled': True, 'resource': False, 'demand': 32, 'keep': 'all'} time 0 0
100 {'source': 'flat', 'mode': 'templates', 'enabled': True, 'resource': True, 'demand': 1, 'keep': '0'} time 0 0
101 {'source': 'flat', 'mode': 'templates', 'enabled': True, 'resource': True, 'demand': 1, 'keep': 'all'} time 0 0
102 {'source': 'flat', 'mode': 'templates', 'enabled': True, 'resource': True, 'demand': 32, 'keep': '0'} time 0 0
103 {'source': 'flat', 'mode': 'templates', 'enabled': True, 'resource': True, 'demand': 32, 'keep': 'all'} time 0 0
104 {'source': 'flat', 'mode': 'direct', 'enabled': False, 'resource': False, 'demand': 1, 'keep': '0'} time 0 0
105 {'source': 'flat', 'mode': 'direct', 'enabled': False, 'resource': False, 'demand': 1, 'keep': 'all'} time 0 0
106 {'source': 'flat', 'mode': 'direct', 'enabled': False, 'resource': False, 'demand': 32, 'keep': '0'} time 0 0
107 {'source': 'flat', 'mode': 'direct', 'enabled': False, 'resource': False, 'demand': 32, 'keep': 'all'} time 0 0
108 {'source': 'flat', 'mode': 'direct', 'enabled': False, 'resource': True, 'demand': 1, 'keep': '0'} time 0 0
109 {'source': 'flat', 'mode': 'direct', 'enabled': False, 'resource': True, 'demand': 1, 'keep': 'all'} time 0 0
110 {'source': 'flat', 'mode': 'direct', 'enabled': False, 'resource': True, 'demand': 32, 'keep': '0'} time 0 0
111 {'source': 'flat', 'mode': 'direct', 'enabled': False, 'resource': True, 'demand': 32, 'keep': 'all'} time 0 0
112 {'source': 'continuing', 'mode': 'dependencies', 'enabled': False, 'resource': False, 'demand': 32, 'keep': '0'} meter 0 0
113 {'source': 'continuing', 'mode': 'dependencies', 'enabled': False, 'resource': False, 'demand': 32, 'keep': 'all'} meter 0 0
