build,mode,family,n,reuse,consumer,requested_bytes,peak_above_start,consumer_retained_bytes,completed_requested_bytes,cancellation_requested_bytes,completed_wall_median_ns,completed_wall_min_ns,completed_wall_max_ns,wall_median_ns,wall_min_ns,wall_max_ns
on,conditional,chain,0,1,prepared,48656,8322,299,18653,30003,24820,16803,26879,61285,38687,66566
on,conditional,chain,0,4,query,95513,8023,0,65510,30003,69856,40380,89977,102134,56685,125842
on,conditional,chain,0,4,prepared,95513,9219,1196,65510,30003,66910,36888,71736,97320,53754,104494
on,conditional,chain,1,1,query,215167,15005,0,144781,70386,176055,108776,221542,263597,157330,320798
on,conditional,chain,1,1,prepared,215167,15005,299,144781,70386,200797,128437,211543,288688,188220,308311
on,conditional,chain,1,4,query,640408,15005,0,570022,70386,652566,487347,881860,736754,548308,994600
on,conditional,chain,1,4,prepared,640408,15902,1196,570022,70386,691999,595180,800201,771105,657712,895391
on,conditional,chain,3,1,query,492111,26533,0,391893,100218,430330,325443,594599,542901,419608,745383
on,conditional,chain,3,1,prepared,492111,26533,299,391893,100218,279811,267866,469627,364213,352597,620046
on,conditional,chain,3,4,query,1658688,26533,0,1558470,100218,1345577,1069637,2231640,1457629,1152200,2383289
on,conditional,chain,3,4,prepared,1658688,27430,1196,1558470,100218,1329038,1156297,2051253,1414410,1246420,2197009
on,conditional,wide,0,1,query,24153,4231,0,7240,16913,8125,4548,8443,24024,12721,25677
on,conditional,wide,0,1,prepared,24153,4526,295,7240,16913,7345,5075,8976,24164,14499,29594
on,conditional,wide,0,4,query,45753,4231,0,28840,16913,17932,11467,26150,30238,18792,44310
on,conditional,wide,0,4,prepared,45753,5411,1180,28840,16913,14581,11601,25817,25215,19855,45782
on,conditional,wide,1,1,query,110779,11708,0,58224,52555,67030,49677,81324,126393,93034,152667
on,conditional,wide,1,1,prepared,110779,11708,711,58224,52555,70565,50659,87877,135262,90708,167811
on,conditional,wide,1,4,query,270163,11708,0,217608,52555,180356,160254,290205,225301,199975,358482
on,conditional,wide,1,4,prepared,270163,13841,2844,217608,52555,259139,124226,320044,318479,154224,389987
on,conditional,wide,3,1,query,1305229,71734,0,1146540,158689,1179559,721567,1270879,1294886,825010,1418718
on,conditional,wide,3,1,prepared,1305229,71734,4989,1146540,158689,818777,730778,1526687,938925,834680,1708338
on,conditional,wide,3,4,query,4601077,71734,0,4442388,158689,3343388,3255277,5150461,3448517,3364479,5360490
on,conditional,wide,3,4,prepared,4601077,86701,19956,4442388,158689,3243385,2855139,3828868,3388906,2955741,3958204
on,conditional,choices,0,1,query,26902,6628,0,9949,16953,10066,7238,11569,23900,15608,26212
on,conditional,choices,0,1,prepared,26902,6923,295,9949,16953,10414,7481,11240,27392,18046,30171
on,conditional,choices,0,4,query,48550,6628,0,31597,16953,26335,22758,26679,41224,36958,57108
on,conditional,choices,0,4,prepared,48550,7808,1180,31597,16953,20382,15271,24439,35136,25407,39523
on,conditional,choices,1,1,query,83297,9687,0,33525,49772,58017,53547,59711,132558,117903,140438
on,conditional,choices,1,1,prepared,83297,10478,942,33525,49772,36920,26815,49236,82214,59174,115660
on,conditional,choices,1,4,query,175673,9687,0,125901,49772,146951,93755,195044,205017,129041,262996
on,conditional,choices,1,4,prepared,175673,13304,3768,125901,49772,193388,167741,266438,256030,228416,361742
on,conditional,choices,3,1,query,170625,15965,0,106341,64284,204885,121383,438279,279901,173074,546869
on,conditional,choices,3,1,prepared,170625,16058,5432,106341,64284,184111,155562,308661,268953,218721,474179
on,conditional,choices,3,4,query,481449,15965,0,417165,64284,610580,445167,873788,679063,479235,1006349
on,conditional,choices,3,4,prepared,481449,32354,21728,417165,64284,720364,646279,933145,797041,724173,1017641
on,conditional,mixed_same,0,1,query,27149,6643,0,10100,17049,10380,6311,11440,24435,14174,26061
on,conditional,mixed_same,0,1,prepared,27149,6938,295,10100,17049,9025,7641,13132,22189,18230,35474
on,conditional,mixed_same,0,4,query,48941,6643,0,31892,17049,23094,14512,32975,36565,22300,51763
on,conditional,mixed_same,0,4,prepared,48941,7823,1180,31892,17049,24601,15953,31234,39580,25812,55722
on,conditional,mixed_same,1,1,query,69217,8345,0,29750,39467,43433,25188,49459,103198,55781,108544
on,conditional,mixed_same,1,1,prepared,69217,8652,307,29750,39467,35741,30917,51555,79127,66787,105905
on,conditional,mixed_same,1,4,query,149959,8345,0,110492,39467,130265,81523,169988,180732,125507,232232
on,conditional,mixed_same,1,4,prepared,149959,9573,1228,110492,39467,151116,80695,160977,207217,111318,220397
on,conditional,mixed_same,3,1,query,198116,12811,0,134592,63524,157272,146967,171256,246731,236565,255872
on,conditional,mixed_same,3,1,prepared,198116,13334,523,134592,63524,177968,91114,260608,266156,142222,329855
on,conditional,mixed_same,3,4,query,593384,12811,0,529860,63524,592278,359815,789740,659965,405504,883940
on,conditional,mixed_same,3,4,prepared,593384,14903,2092,529860,63524,364180,296589,626057,409666,332261,699543
on,conditional,independent,0,1,query,36276,12706,0,19003,17273,18632,14497,21422,33931,24391,37641
on,conditional,independent,0,1,prepared,36276,13001,295,19003,17273,21923,14303,24986,40238,24588,48663
on,conditional,independent,0,4,query,58404,12706,0,41131,17273,38085,22304,47894,51911,30503,64486
on,conditional,independent,0,4,prepared,58404,13886,1180,41131,17273,36606,29644,45862,53015,42497,67311
on,conditional,independent,1,1,query,181989,21396,0,130276,51713,143322,129445,233808,192985,175121,335502
on,conditional,independent,1,1,prepared,181989,21396,2420,130276,51713,211007,181757,244896,287357,250580,336634
on,conditional,independent,1,4,query,535536,21396,0,483823,51713,487860,413037,717332,535459,453388,782179
on,conditional,independent,1,4,prepared,535536,28656,9680,483823,51713,533390,427478,613000,581541,469595,671610
on,conditional,independent,3,1,query,923775,62428,0,863792,59983,1275674,804467,1868980,1361319,868381,2010435
on,conditional,independent,3,1,prepared,923775,62428,23168,863792,59983,1034805,778116,1430583,1138216,839086,1530283
on,conditional,independent,3,4,query,3473070,62428,0,3413087,59983,3709494,2996084,4878443,3772406,3057611,4955804
on,conditional,independent,3,4,prepared,3473070,131932,92672,3413087,59983,3126673,2935719,5637712,3180822,2980198,5718062
on,conditional,delayed,0,1,query,36476,12906,0,19203,17273,21483,16419,97384,36668,26732,109508
on,conditional,delayed,0,1,prepared,36476,13201,295,19203,17273,17377,13771,20253,30597,25638,34623
on,conditional,delayed,0,4,query,58604,12906,0,41331,17273,41674,24285,46536,58423,33520,65636
on,conditional,delayed,0,4,prepared,58604,14086,1180,41331,17273,39621,24919,45262,58879,35425,67220
on,conditional,delayed,1,1,query,232050,21712,0,181604,50446,274769,213392,315873,344970,268432,400162
on,conditional,delayed,1,1,prepared,232050,21712,2420,181604,50446,309146,193435,383903,385045,246721,478309
on,conditional,delayed,1,4,query,738981,21712,0,688535,50446,738606,587577,1131311,787105,626249,1184408
on,conditional,delayed,1,4,prepared,738981,28972,9680,688535,50446,925456,561606,1025112,967500,599977,1138657
on,conditional,delayed,3,1,query,1352119,65352,0,1292136,59983,1293554,1138759,1514869,1364456,1200257,1641343
on,conditional,delayed,3,1,prepared,1352119,65352,23168,1292136,59983,1375420,1199106,2635432,1446851,1259979,2723310
on,conditional,delayed,3,4,query,5185846,65352,0,5125863,59983,4844537,4476740,5367370,4914974,4540929,5442329
on,conditional,delayed,3,4,prepared,5185846,134856,92672,5125863,59983,5289682,4618083,9084142,5349863,4674282,9184584
on,inferred,history,0,1,query,22940,5701,0,9011,13929,12701,11206,19115,26471,23381,28338
on,inferred,history,0,1,prepared,22940,5996,295,9011,13929,12611,7159,13829,28685,15566,30241
on,inferred,history,0,4,query,41492,5701,0,27563,13929,19608,13797,25698,30303,20929,38859
on,inferred,history,0,4,prepared,41492,6881,1180,27563,13929,27156,13734,33964,41248,20981,48083
on,inferred,history,1,1,query,524306,21720,0,413727,110579,404943,251638,474037,519629,323923,590276
on,inferred,history,1,1,prepared,524306,21720,4931,413727,110579,424748,299973,487331,547952,386800,620191
on,inferred,history,1,4,query,1757006,21720,0,1646427,110579,994853,943208,1741806,1066364,1000756,1861390
on,inferred,history,1,4,prepared,1757006,36513,19724,1646427,110579,1561632,979343,2028752,1633776,1047730,2154882
on,inferred,history,3,1,query,2558714,43692,0,2368639,190075,2192296,1526492,2459516,2406252,1720592,2697352
on,inferred,history,3,1,prepared,2558714,43692,11555,2368639,190075,1327851,1124751,1485654,1483454,1249655,1650098
on,inferred,history,3,4,query,9656150,43692,0,9466075,190075,6506247,5452470,10568685,6694793,5747424,10876686
on,inferred,history,3,4,prepared,9656150,78357,46220,9466075,190075,5732366,5167324,9862925,5893519,5321411,10039959
on,inferred,chain,0,1,query,47604,7286,0,17647,29957,29457,16708,32042,69877,38913,76412
on,inferred,chain,0,1,prepared,47604,7585,299,17647,29957,29167,17543,34416,69747,39646,79015
on,inferred,chain,0,4,query,89253,7286,0,59296,29957,69027,39402,79490,104428,59063,115419
on,inferred,chain,0,4,prepared,89253,8482,1196,59296,29957,67989,37333,77333,102191,56189,115404
on,inferred,chain,1,1,query,213411,13120,0,138911,74500,177179,164580,269774,267126,248231,353980
on,inferred,chain,1,1,prepared,213411,13120,299,138911,74500,187362,132663,232417,283715,192070,329743
