family,choices,depth,history,reverse,consumer,mode,counted,median_ns,min_ns,max_ns,requested_bytes,peak_excess,signal_limited
common,0,0,True,False,all,birth-miss-template,True,151819,140655,180933,109318,21750,False
common,0,0,True,False,all,conditional,False,305665,303663,340904,352552,22956,False
common,0,0,True,False,all,conditional,True,332070,297176,383649,359077,23483,False
common,0,0,True,False,all,indexed,False,151508,135475,207318,106363,17646,False
common,0,0,True,False,all,indexed,True,169411,161908,212708,112888,18173,False
common,0,0,True,False,all,native-indexed,False,157536,149819,176331,104059,17542,False
common,0,0,True,False,all,native-indexed,True,175046,159126,182744,110584,18069,False
common,0,0,True,False,all,native-scan,False,147854,129410,152882,89103,15482,False
common,0,0,True,False,all,native-scan,True,151498,142800,176354,95628,16009,False
common,0,0,True,False,all,scan,False,132740,120710,142350,85135,15250,False
common,0,0,True,False,all,scan,True,136165,119073,151766,91660,15777,False
common,0,0,True,False,all,sealed-indexed,False,162100,132569,177122,106707,18342,False
common,0,0,True,False,all,sealed-indexed,True,173711,151223,250588,113232,18869,False
common,0,0,True,False,all,sealed-scan,False,130952,118054,140083,85479,15946,False
common,0,0,True,False,all,sealed-scan,True,141912,130317,160046,92004,16473,False
common,0,0,True,False,immediate,active-indexed,False,158017,146729,179304,95695,15210,False
common,0,0,True,False,immediate,active-indexed,True,159547,130800,173197,102220,15737,False
common,0,0,True,False,immediate,active-native-indexed,False,189013,150098,227574,94831,15234,False
common,0,0,True,False,immediate,active-native-indexed,True,164317,144230,220279,101356,15761,False
common,0,0,True,False,immediate,active-native-scan,False,139089,134382,155284,87375,14198,False
common,0,0,True,False,immediate,active-native-scan,True,155376,141144,513612,93900,14725,False
common,0,0,True,False,immediate,active-scan,False,133988,117190,149549,85327,13966,False
common,0,0,True,False,immediate,active-scan,True,138373,131849,222673,91852,14493,False
common,0,0,True,False,immediate,birth,False,92936,81593,97765,86561,15393,False
common,0,0,True,False,immediate,birth,True,118397,112008,199338,93086,15920,False
common,0,0,True,False,immediate,birth-miss,False,91530,85598,114597,86533,15393,False
common,0,0,True,False,immediate,birth-miss,True,116923,108517,125591,93058,15920,False
common,0,0,True,False,immediate,birth-miss-template,False,115156,109016,157991,102793,17491,False
common,0,0,True,False,immediate,birth-miss-template,True,132466,122554,221052,109318,18018,False
common,0,0,True,False,immediate,conditional,False,305962,280460,727256,352552,20592,False
common,0,0,True,False,immediate,conditional,True,319596,302386,382794,359077,21119,False
common,0,0,True,False,immediate,indexed,False,149563,145420,172029,106363,15282,False
common,0,0,True,False,immediate,indexed,True,180919,159651,268592,112888,15809,False
common,0,0,True,False,immediate,native-indexed,False,167421,144872,232611,104059,15178,False
