kind,rep,family,mode,reuse,total_ns,execution_ns,setup_ns,preparation_ns,disposal_ns,first_cold_ns,cancel_ns,requested_bytes,peak_increment_bytes
time,4,before-success,ordinary,8,1275518,837725,296432,16788,124573,134959,123647,,
time,4,after-success,specialized,8,5224976,4758998,378801,55119,32058,509739,589586,,
time,4,after-clash,specialized,8,3948655,3543864,349621,48266,6904,,496683,,
time,4,unique,specialized,8,5403204,4893597,390253,67847,51507,504571,596916,,
time,4,after-clash,ordinary,8,802101,440200,307237,23303,31361,,100144,,
time,4,unique,graph,1,4198926,4119803,18556,45570,14997,399734,381717,,
time,4,after-clash,graph,8,27584715,27364501,166146,25826,28242,,3442486,,
time,4,before-clash,ordinary,8,710207,293644,338269,24065,54229,,87157,,
time,4,unique,ordinary,1,196790,114607,34616,35175,12392,160236,143736,,
time,4,after-success,graph,8,32452315,32128540,233834,29616,60325,386793,364461,,
time,4,before-clash,specialized,8,3426846,3028444,344468,46225,7709,,428163,,
time,4,before-clash,ordinary,1,81894,28070,34536,12786,6502,,68590,,
time,4,trivial,dependencies,1,103946,74497,2066,20447,6936,75482,66303,,
time,4,after-success,ordinary,1,162537,91944,35379,26162,9052,132091,122113,,
time,4,unique,ordinary,8,1381311,886756,318336,24579,151640,152444,138264,,
time,4,unique,graph,8,32651391,32257755,175475,26019,192142,392065,381496,,
time,4,unique,dependencies,1,283438,197789,36186,36917,12546,249402,224803,,
time,4,after-clash,ordinary,1,106355,50774,34215,14312,7054,,98162,,
time,4,after-clash,dependencies,1,108949,53485,34268,14215,6981,,95554,,
time,4,before-clash,dependencies,1,79640,28969,32494,11879,6298,,68242,,
time,4,trivial,graph,8,14823929,14742853,13109,21477,46490,314677,298108,,
time,4,before-success,specialized,8,6618433,6091797,356094,48253,122289,648081,788506,,
time,4,trivial,specialized,1,315664,253858,3005,51551,7250,239504,213703,,
time,4,trivial,graph,1,1830838,1797890,1682,21703,9563,293803,308382,,
time,4,before-clash,dependencies,8,807518,292021,420190,25859,69448,,71680,,
time,4,before-success,specialized,1,697706,590538,45238,48558,13372,521627,685065,,
time,4,trivial,dependencies,8,687263,628406,8708,20053,30096,73432,62014,,
time,4,after-clash,graph,1,3521544,3473122,17880,14953,15589,,3497245,,
time,4,after-success,dependencies,8,1155879,691609,308939,16982,138349,119859,108469,,
meter,0,before-success,specialized,1,1077840,933371,58497,68551,17421,783454,942238,1458771,753609
meter,0,after-success,specialized,1,896566,758169,58124,68804,11469,649484,762054,1315093,753481
meter,0,after-clash,specialized,1,720815,606365,47761,59796,6893,,684299,1239353,747753
meter,0,after-success,specialized,8,7270121,6714578,460451,50611,44481,640188,851465,9950909,753481
