variant,form,family,choices,depth,reuse,schedule,requested_bytes,peak_above_start,wall_median_ns,wall_min_ns,wall_max_ns
scan,counted,common,0,16,4,eligible,87330,12277,123667,81204,131137
scan,counted,common,0,16,4,mixed,106995,17941,147827,87352,179121
scan,counted,common,3,0,1,eligible,110406,51633,131587,96879,133061
scan,counted,common,3,0,1,mixed,108573,51633,129018,87808,130008
scan,counted,common,3,0,4,eligible,382170,51633,420161,248420,455642
scan,counted,common,3,0,4,mixed,357375,51633,372678,217262,403489
scan,counted,common,3,16,1,eligible,118982,54017,145889,117642,150626
scan,counted,common,3,16,1,mixed,125597,54017,152662,150541,163703
scan,counted,common,3,16,4,eligible,403610,54017,504923,255212,635240
scan,counted,common,3,16,4,mixed,459251,82469,320042,293795,480720
scan,counted,independent,0,0,1,eligible,27875,9797,38812,23301,43059
scan,counted,independent,0,0,1,mixed,26288,9797,38294,38106,41684
scan,counted,independent,0,0,4,eligible,65330,9797,88886,86721,97518
scan,counted,independent,0,0,4,mixed,57541,9797,56414,44737,107764
scan,counted,independent,0,16,1,eligible,36451,12181,56078,54922,61384
scan,counted,independent,0,16,1,mixed,43312,14020,64401,47251,85417
scan,counted,independent,0,16,4,eligible,86770,12181,121581,90318,135311
scan,counted,independent,0,16,4,mixed,106435,17845,92818,88793,145001
scan,counted,independent,3,0,1,eligible,151031,61276,192606,129931,238120
scan,counted,independent,3,0,1,mixed,149502,61276,190978,187986,207100
scan,counted,independent,3,0,4,eligible,497459,61276,608550,602181,683824
scan,counted,independent,3,0,4,mixed,419026,61276,505492,282552,530848
scan,counted,independent,3,16,1,eligible,159319,63660,214019,125688,236501
scan,counted,independent,3,16,1,mixed,165446,63660,212460,134192,243189
scan,counted,independent,3,16,4,eligible,518179,63660,637684,377313,682464
scan,counted,independent,3,16,4,mixed,542040,93398,628831,399525,812956
scan,counted,early,0,0,1,eligible,28315,9893,38856,32089,39207
scan,counted,early,0,0,1,mixed,26728,9893,38790,37724,44060
scan,counted,early,0,0,4,eligible,65890,9893,86572,50412,103599
scan,counted,early,0,0,4,mixed,58101,9893,84505,80043,107474
scan,counted,early,0,16,1,eligible,36891,12277,54568,52938,61916
scan,counted,early,0,16,1,mixed,43752,14116,65664,62999,67948
scan,counted,early,0,16,4,eligible,87330,12277,130899,83695,144194
scan,counted,early,0,16,4,mixed,106995,17941,146681,84635,159708
scan,counted,early,3,0,1,eligible,70648,28848,93227,91632,135391
scan,counted,early,3,0,1,mixed,68815,28848,92715,91960,97854
scan,counted,early,3,0,4,eligible,223456,28848,254112,167913,267088
scan,counted,early,3,0,4,mixed,207733,28848,232212,227627,305741
scan,counted,early,3,16,1,eligible,79224,31232,105536,70321,120135
scan,counted,early,3,16,1,mixed,85839,31232,109201,76821,138441
scan,counted,early,3,16,4,eligible,244896,31232,304966,170113,320419
scan,counted,early,3,16,4,mixed,286753,46648,318377,239745,344312
existing,original,dense,0,0,1,eligible,12355,5981,12338,12171,14918
existing,original,dense,0,0,4,eligible,34723,5981,26995,18835,27110
existing,original,dense,3,0,1,eligible,1291118,24165,1162737,719182,1205912
existing,original,dense,3,0,4,eligible,5141246,24165,2535202,2343617,3968877
filtered,original,dense,0,0,1,eligible,12825,6141,12946,12678,15649
filtered,original,dense,0,0,4,eligible,36441,6141,30600,29519,32646
filtered,original,dense,3,0,1,eligible,1293256,24485,1231636,638593,1241342
filtered,original,dense,3,0,4,eligible,5148676,24485,3045078,2435731,4648283
scan,original,dense,0,0,1,eligible,10524,5444,12680,12395,13519
scan,original,dense,0,0,4,eligible,22638,5444,21078,15375,22221
scan,original,dense,3,0,1,eligible,80875,17303,155107,145476,268419
scan,original,dense,3,0,4,eligible,297049,17303,551719,535420,1033322
