31,551
32,554
32,551
31,550
31,551
31,546
31,547
31,548
31,549
32,548
32,547
32,549
32,551
32,546
31,547
31,551
31,549
31,548
31,547
32,551
33,546
32,547
31,546
30,547
31,547
32,545
31,546
32,545
33,548
32,549
31,547
31,548
33,546
31,546
32,546
29,550
31,549
33,551
32,550
32,552
32,547
31,550
31,551
31,551
32,547
32,548
31,549
32,550
32,546
31,548
31,549
31,550
31,547
32,547
31,547
32,546
31,545
31,547
32,549
31,549
32,551
32,546
32,548
30,549
32,660
32,545
30,546
31,551
32,552
32,548
32,549
32,547
31,548
31,548
30,547
31,549
32,549
31,546
31,546
31,547
31,546
31,554
32,547
31,548
30,673
31,547
31,546
30,546
32,550
31,545
30,546
30,548
32,551
31,545
32,548
31,548
31,550
31,548
31,547
32,654
31,549
30,550
32,551
33,548
31,549
32,554
30,555
32,550
32,552
31,550
31,549
32,549
31,549
32,547
31,552
31,554
33,550
32,553
31,549
32,553
32,555
32,552
29,549
31,550
31,552
31,552
31,548
32,553
31,551
32,549
32,554
31,551
33,553
31,550
31,551
32,557
32,551
31,549
32,549
32,553
30,547
31,548
31,548
31,548
30,548
32,548
30,551
31,551
32,556
32,550
32,549
32,552
31,548
31,549
31,553
32,554
31,551
31,548
31,552
31,553
31,552
32,548
32,550
32,553
32,549
30,552
31,549
32,552
32,550
31,550
31,551
31,549
31,549
31,550
31,551
32,552
31,552
32,549
30,553
33,549
31,549
32,551
30,554
31,550
31,551
32,553
30,551
33,551
32,553
31,553
32,552
32,551
32,551
30,550
31,550
32,553
32,553
31,553
31,549
32,550
32,550
31,550
31,549
32,553
32,547
30,549
29,549
32,550
31,551
31,549
31,552
33,550
31,550
32,550
31,550
32,551
32,552
32,551
32,552
32,553
33,553
31,552
30,553
32,550
31,549
30,550
31,550
31,680
31,548
30,550
31,552
31,548
31,548
31,550
31,550
31,549
31,550
32,553
31,551
32,551
31,548
31,553
31,553
31,552
31,550
32,551
32,553
33,551
31,552
33,552
32,551
32,550
31,549
32,550
32,550
32,548
31,550
32,548
31,552
31,549
32,548
31,550
32,549
31,550
31,547
31,548
30,552
33,550
32,551
32,549
31,553
31,551
31,551
31,549
31,553
31,551
31,553
32,548
31,552
31,551
31,549
32,551
31,551
33,553
31,551
30,552
32,548
30,549
31,547
32,551
32,549
32,550
32,548
31,547
30,548
31,551
31,552
32,550
31,551
32,551
31,533
31,526
30,529
30,527
30,529
30,527
30,529
31,528
30,530
31,530
29,531
32,528
30,528
31,528
29,530
30,528
30,527
29,527
31,526
31,528
29,526
30,525
29,529
31,525
30,528
30,526
29,529
30,527
31,525
31,526
30,528
30,527
30,528
30,527
29,527
30,529
30,526
30,527
29,529
30,529
31,526
30,529
30,545
33,577
33,579
32,579
33,580
32,579
33,578
33,604
32,574
33,577
34,573
31,575
31,576
33,645
31,577
33,576
31,574
35,577
32,577
31,574
33,577
34,579
33,575
33,575
32,578
34,579
32,573
34,576
33,575
33,575
33,576
34,574
31,575
33,576
32,576
32,574
32,578
33,573
31,574
33,576
32,573
34,575
32,574
33,575
33,577
33,574
33,577
32,577
33,575
33,576
35,579
33,574
33,579
35,577
33,576
33,577
31,575
34,575
33,576
34,573
33,575
33,575
32,576
33,573
31,573
32,575
33,577
34,576
32,578
33,577
31,575
32,576
32,578
34,574
33,574
32,574
32,579
34,576
32,579
33,574
33,580
33,576
33,576
32,574
31,580
34,573
34,577
34,576
31,579
33,576
33,575
32,575
33,574
31,574
32,575
33,574
33,578
34,574
32,573
34,573
32,579
33,576
31,576
33,574
33,573
33,575
32,577
31,576
32,579
33,576
34,577
33,575
30,577
33,576
33,577
33,578
33,578
33,575
33,577
31,577
32,575
33,574
34,579
33,572
32,574
33,575
32,574
34,576
32,577
33,576
31,579
32,574
32,578
33,580
32,576
34,576
32,579
34,579
32,576
34,575
32,577
33,646
33,579
33,576
33,576
32,575
32,575
33,578
34,574
33,574
32,577
32,578
33,573
32,575
32,573
34,578
33,577
32,575
32,579
33,577
33,575
33,576
32,579
33,578
34,577
34,578
32,580
33,578
33,582
31,576
32,579
32,578
33,574
32,581
31,574
33,576
33,577
32,575
33,577
33,577
32,577
32,573
33,577
32,575
34,576
33,573
33,577
33,576
33,575
32,574
32,578
32,577
33,575
33,578
32,579
34,579
33,579
33,579
33,584
34,577
33,573
32,576
31,575
32,575
33,574
33,573
31,576
33,576
33,573
33,577
32,578
33,574
32,576
32,573
32,579
33,576
33,575
32,575
33,577
33,578
33,576
32,576
33,579
33,576
33,578
33,575
32,579
34,574
33,575
32,578
32,581
33,578
32,579
33,575
33,580
33,577
32,577
32,573
33,579
33,577
32,575
34,577
32,576
32,577
33,575
34,576
32,579
33,574
34,580
33,580
32,576
33,576
32,580
34,585
32,582
33,578
32,583
33,580
34,578
32,577
32,580
33,576
34,585
32,577
31,578
33,576
32,572
32,575
31,578
33,638
32,581
32,583
34,587
33,580
32,582
31,581
33,577
32,581
33,645
32,579
33,595
32,583
32,576
31,582
33,580
32,573
32,580
31,574
33,575
32,573
33,576
32,575
33,577
33,576
32,576
32,577
