kind,rep,family,mode,reuse,total_ns,execution_ns,setup_ns,preparation_ns,disposal_ns,first_cold_ns,cancel_ns,requested_bytes,peak_increment_bytes
time,0,cross-before-clash-256-4,specialized,1,1414370,1212475,147137,46617,8141,,1425347,,
time,0,cross-before-success-64-4,specialized,1,755134,647482,42884,46298,18470,533732,618091,,
time,1,cross-unique-success-64-6,ordinary,1,981154,778840,38060,91704,72550,646894,638397,,
time,1,cross-before-clash-64-6,dependencies,1,186421,83204,35399,51724,16094,,129976,,
time,1,cross-after-success-1024-6,dependencies,1,1513919,787932,509753,68473,147761,1104566,1211217,,
time,1,cross-before-success-64-2,ordinary,1,75863,23114,36372,11376,5001,67616,60571,,
time,1,cross-before-clash-64-6,ordinary,1,226948,123169,36408,50704,16667,,142956,,
time,1,cross-after-clash-1024-6,ordinary,1,1687643,951545,529152,76208,130738,,1522504,,
time,1,cross-before-success-1024-2,graph,1,689699,426558,206603,4765,51773,588651,661425,,
time,1,cross-before-clash-64-2,specialized,1,150897,84724,44421,19684,2068,,123547,,
time,1,cross-unique-success-64-6,graph,1,155317574,155049523,24028,140993,103030,3882545,3881211,,
time,1,cross-before-clash-256-6,graph,1,343333,213207,54017,42905,33204,,291083,,
time,1,cross-before-success-1024-6,specialized,1,29989365,29101505,574659,199101,114100,21538121,27825078,,
time,1,cross-before-success-256-4,specialized,1,1991520,1772905,145685,54574,18356,1495319,1900756,,
time,1,cross-after-clash-1024-6,graph,1,557821463,557344811,246892,76326,153434,,568033072,,
time,1,cross-before-success-1024-2,dependencies,1,720351,127986,479026,5926,107413,609132,701874,,
time,1,cross-before-success-1024-6,dependencies,1,1860780,1054353,575450,69536,161441,1351766,1283268,,
time,1,cross-before-clash-1024-6,dependencies,1,832818,181297,473891,52597,125033,,791395,,
time,1,cross-before-clash-64-6,graph,1,240729,163309,15383,42680,19357,,185231,,
time,1,cross-before-clash-64-2,ordinary,1,68011,9442,41822,12002,4745,,55071,,
time,1,cross-before-clash-256-6,specialized,1,5415530,5067389,141693,166232,40216,,5617774,,
time,1,cross-before-clash-1024-6,ordinary,1,1302890,605180,513686,59817,124207,,1232505,,
time,1,cross-before-success-1024-4,ordinary,1,1106972,431311,531474,18344,125843,956183,1061118,,
time,1,cross-before-success-1024-2,ordinary,1,725157,105385,506679,6451,106642,614977,694288,,
time,1,cross-after-clash-1024-6,specialized,1,22789267,22011029,559528,168651,50059,,22528513,,
time,1,cross-before-success-64-6,dependencies,1,902054,735457,42849,93891,29857,592972,567484,,
time,1,cross-before-success-256-2,specialized,1,536940,378438,135946,19196,3360,437440,520533,,
time,1,cross-before-clash-1024-2,dependencies,1,725793,106917,492997,6907,118972,,687686,,
time,1,cross-before-clash-1024-4,graph,1,624316,309404,205807,15812,93293,,583900,,
time,1,cross-unique-success-1024-6,dependencies,1,7489224,6690159,518317,91734,189014,7021881,7156296,,
time,1,cross-before-success-64-4,specialized,1,744665,624938,50453,51607,17667,551022,625259,,
time,1,cross-before-success-64-2,graph,1,148235,115985,18699,9050,4501,92728,85908,,
time,1,cross-unique-success-1024-6,graph,1,629655310,629092164,258770,122500,181876,4716580,4886942,,
time,1,cross-before-clash-256-4,specialized,1,1431402,1218948,135679,67873,8902,,1385047,,
time,1,cross-before-success-256-6,specialized,1,10746394,10314412,151345,189374,91263,7118798,8879562,,
time,1,cross-before-success-256-2,graph,1,241117,171649,56579,4146,8743,181627,207997,,
time,1,cross-before-success-1024-6,ordinary,1,2874824,2081063,530680,66624,196457,2379517,2540267,,
time,1,cross-after-clash-1024-6,dependencies,1,1226169,496134,523782,72783,133470,,1131590,,
time,1,cross-before-clash-1024-2,specialized,1,1661273,1128052,510641,18508,4072,,1641310,,
time,1,cross-unique-success-64-6,dependencies,1,1371228,1169387,38905,96296,66640,1033792,1031858,,
time,1,cross-before-success-64-6,graph,1,90395286,90216548,18882,98801,61055,3641557,3604384,,
time,1,cross-before-clash-64-4,specialized,1,463454,370453,40610,46883,5508,,407801,,
time,1,cross-unique-success-1024-6,ordinary,1,2715146,1903170,520414,101328,190234,2265575,2431293,,
time,1,cross-before-clash-256-4,ordinary,1,243953,64338,127912,15025,36678,,229779,,
time,1,cross-before-success-1024-4,dependencies,1,821305,203500,475018,24607,118180,679171,784587,,
time,1,cross-before-clash-64-2,graph,1,55876,26027,16833,9754,3262,,43580,,
time,1,cross-before-clash-64-4,ordinary,1,105205,37267,38499,14315,15124,,81418,,
time,1,cross-before-success-64-2,dependencies,1,82667,28529,37249,11003,5886,73405,71699,,
time,1,cross-before-success-256-2,ordinary,1,193690,40804,127850,5230,19806,170471,203755,,
time,1,cross-before-success-64-2,specialized,1,195750,126088,47543,19024,3095,165640,161864,,
time,1,cross-before-clash-64-4,dependencies,1,87139,31367,33987,14801,6984,,72622,,
time,1,cross-before-clash-1024-4,dependencies,1,726418,119212,482348,16238,108620,,740750,,
time,1,cross-before-success-64-6,specialized,1,5863826,5554255,48403,188746,72422,3792627,4487912,,
time,1,cross-before-clash-256-2,specialized,1,438900,285894,131718,18694,2594,,447459,,
time,1,cross-before-success-64-4,dependencies,1,186814,105029,40212,31159,10414,150768,145759,,
time,1,cross-before-success-256-4,ordinary,1,356240,168719,130365,29394,27762,304364,331193,,
time,1,cross-before-success-1024-4,graph,1,4152037,3324005,547220,29569,251243,1521319,1906213,,
time,1,cross-before-success-256-4,graph,1,1689827,1596758,62166,16000,14903,467005,480827,,
time,1,cross-before-success-256-6,ordinary,1,1518493,1217771,149046,70610,81066,1119704,1076201,,
time,1,cross-before-clash-256-2,graph,1,191649,76592,54310,23947,36800,,130059,,
time,1,cross-before-clash-256-4,graph,1,190770,97590,54174,11998,27008,,164871,,
time,1,cross-before-success-1024-6,graph,1,91326660,90853635,260414,88898,123713,4286025,4506546,,
time,1,cross-before-clash-1024-6,specialized,1,21121601,20325886,571820,169398,54497,,21083274,,
time,1,cross-after-success-1024-6,ordinary,1,2754261,1977337,536127,88442,152355,2330755,2360706,,
time,1,cross-before-clash-256-4,dependencies,1,227180,49885,127186,14498,35611,,200030,,
time,1,cross-after-success-1024-6,specialized,1,26791047,25930944,559862,184835,115406,18372621,24075366,,
time,1,cross-before-clash-1024-6,graph,1,788968,438485,214546,50214,85723,,717046,,
time,1,cross-before-success-256-2,dependencies,1,205621,51406,129426,5549,19240,182664,209547,,
time,1,cross-before-clash-256-6,dependencies,1,296837,98213,123777,49808,25039,,276526,,
time,1,cross-before-clash-1024-2,graph,1,582919,273452,209453,5817,94197,,578298,,
time,1,cross-before-success-64-4,graph,1,1607944,1543662,21224,32025,11033,374154,357204,,
time,1,cross-before-success-1024-4,specialized,1,6910303,6266523,566530,56318,20932,5401349,6824643,,
time,1,cross-before-clash-256-2,dependencies,1,216437,54947,131268,17123,13099,,191611,,
time,1,cross-before-success-64-6,ordinary,1,968891,800930,39943,99270,28748,656187,629958,,
time,1,cross-before-clash-64-4,graph,1,84720,47317,15578,10128,11697,,66379,,
time,1,cross-before-success-256-4,dependencies,1,310830,123179,128690,29286,29675,256711,264168,,
time,1,cross-before-clash-256-2,ordinary,1,173280,14611,127996,16664,14009,,165866,,
time,1,cross-after-success-1024-6,graph,1,614343029,613877598,249845,77275,138311,4690246,4982491,,
time,1,cross-before-clash-1024-2,ordinary,1,653974,60840,483606,5379,104149,,637319,,
time,1,cross-before-clash-64-2,dependencies,1,66172,16032,35949,9617,4574,,57096,,
time,1,cross-before-success-64-4,ordinary,1,198425,116043,40440,31752,10190,163655,149261,,
time,1,cross-before-clash-256-6,ordinary,1,446666,218169,142277,57608,28612,,366520,,
time,1,cross-before-success-256-6,graph,1,92300502,92076833,77317,89451,56901,3926982,3811151,,
time,1,cross-unique-success-1024-6,specialized,1,26436495,25483568,530340,281776,140811,18248905,25725264,,
time,1,cross-before-success-1024-2,specialized,1,1936295,1397201,514906,18237,5951,1644366,1992631,,
time,1,cross-before-clash-1024-4,specialized,1,5387816,4777902,537432,58354,14128,,5296513,,
time,1,cross-before-clash-1024-4,ordinary,1,753853,168403,467157,16331,101962,,758821,,
time,1,cross-unique-success-64-6,specialized,1,5533808,5132701,44866,248516,107725,3519924,3948484,,
time,1,cross-before-success-256-6,dependencies,1,1131407,817884,146526,68906,98091,715022,697980,,
time,1,cross-before-clash-64-6,specialized,1,1859054,1627431,42165,155428,34030,,1668673,,
time,2,cross-unique-success-64-6,dependencies,1,1385577,1182941,39988,96888,65760,1040619,1038729,,
