case	mode	limit	status	steps	raw	failed	answers	exhausted	issued	committed_equations	lookahead_visits	projection_dereferences	max_outstanding	owner_buffered_peak	uncommitted_at_shutdown	calls	pairs	resolve_nodes	occurs_nodes	worker_completion
H06-conditional-consumption	Threads(2)	1	pass	10	2	0	2	true	0	0	14	0	0	0	0	0	0	0	0	[]
H06-conditional-consumption	Threads(2)	4	pass	10	2	0	2	true	0	0	14	0	0	0	0	0	0	0	0	[]
M01-committed	Owned	0	pass	4	1	0	1	true	1	1	0	0	0	0	0	1	1	4	1	[]
M01-committed	Shared	0	pass	4	1	0	1	true	0	0	0	0	0	0	0	0	0	0	0	[]
M01-committed	Inline	1	pass	4	1	0	1	true	1	1	4	1	1	1	0	1	1	4	1	[]
M01-committed	Inline	4	pass	4	1	0	1	true	1	1	4	1	1	1	0	1	1	4	1	[]
M01-committed	Threads(1)	1	pass	4	1	0	1	true	1	1	4	1	1	1	0	1	1	4	1	[(0, 0)]
M01-committed	Threads(1)	4	pass	4	1	0	1	true	1	1	4	1	1	1	0	1	1	4	1	[(0, 0)]
M01-committed	Threads(2)	1	pass	4	1	0	1	true	1	1	4	1	1	1	0	1	1	4	1	[(0, 0)]
M01-committed	Threads(2)	4	pass	4	1	0	1	true	1	1	4	1	1	1	0	1	1	4	1	[(0, 0)]
M02-nonbinding	Owned	0	pass	2	1	0	1	true	0	0	0	0	0	0	0	0	0	0	0	[]
M02-nonbinding	Shared	0	pass	2	1	0	1	true	0	0	0	0	0	0	0	0	0	0	0	[]
M02-nonbinding	Inline	1	pass	2	1	0	1	true	0	0	2	0	0	0	0	0	0	0	0	[]
M02-nonbinding	Inline	4	pass	2	1	0	1	true	0	0	2	0	0	0	0	0	0	0	0	[]
M02-nonbinding	Threads(1)	1	pass	2	1	0	1	true	0	0	2	0	0	0	0	0	0	0	0	[]
M02-nonbinding	Threads(1)	4	pass	2	1	0	1	true	0	0	2	0	0	0	0	0	0	0	0	[]
M02-nonbinding	Threads(2)	1	pass	2	1	0	1	true	0	0	2	0	0	0	0	0	0	0	0	[]
M02-nonbinding	Threads(2)	4	pass	2	1	0	1	true	0	0	2	0	0	0	0	0	0	0	0	[]
S01-finite-sibling	Owned	0	pass	200	1	0	1	false	1	1	0	0	0	0	0	1	1	4	1	[]
S01-finite-sibling	Shared	0	pass	200	1	0	1	false	0	0	0	0	0	0	0	0	0	0	0	[]
S01-finite-sibling	Inline	1	pass	200	1	0	1	false	1	1	202	1	1	1	0	1	1	4	1	[]
S01-finite-sibling	Inline	4	pass	200	1	0	1	false	1	1	204	1	1	1	0	1	1	4	1	[]
S01-finite-sibling	Threads(1)	1	pass	200	1	0	1	false	1	1	202	1	1	1	0	1	1	4	1	[(0, 0)]
S01-finite-sibling	Threads(1)	4	pass	200	1	0	1	false	1	1	204	1	1	1	0	1	1	4	1	[(0, 0)]
S01-finite-sibling	Threads(2)	1	pass	200	1	0	1	false	1	1	202	1	1	1	0	1	1	4	1	[(0, 0)]
S01-finite-sibling	Threads(2)	4	pass	200	1	0	1	false	1	1	204	1	1	1	0	1	1	4	1	[(0, 0)]
U01-clash	Owned	0	pass	3	0	1	0	true	1	1	0	0	0	0	0	1	1	2	0	[]
U01-clash	Shared	0	pass	3	0	1	0	true	0	0	0	0	0	0	0	0	0	0	0	[]
U01-clash	Inline	1	pass	3	0	1	0	true	1	1	3	0	1	1	0	1	1	2	0	[]
U01-clash	Inline	4	pass	3	0	1	0	true	1	1	3	0	1	1	0	1	1	2	0	[]
U01-clash	Threads(1)	1	pass	3	0	1	0	true	1	1	3	0	1	1	0	1	1	2	0	[(0, 0)]
U01-clash	Threads(1)	4	pass	3	0	1	0	true	1	1	3	0	1	1	0	1	1	2	0	[(0, 0)]
U01-clash	Threads(2)	1	pass	3	0	1	0	true	1	1	3	0	1	1	0	1	1	2	0	[(0, 0)]
U01-clash	Threads(2)	4	pass	3	0	1	0	true	1	1	3	0	1	1	0	1	1	2	0	[(0, 0)]
U02-self	Owned	0	pass	4	1	0	1	true	1	1	0	0	0	0	0	1	1	3	0	[]
U02-self	Shared	0	pass	4	1	0	1	true	0	0	0	0	0	0	0	0	0	0	0	[]
U02-self	Inline	1	pass	4	1	0	1	true	1	1	4	2	1	1	0	1	1	3	0	[]
U02-self	Inline	4	pass	4	1	0	1	true	1	1	4	2	1	1	0	1	1	3	0	[]
U02-self	Threads(1)	1	pass	4	1	0	1	true	1	1	4	2	1	1	0	1	1	3	0	[(0, 0)]
U02-self	Threads(1)	4	pass	4	1	0	1	true	1	1	4	2	1	1	0	1	1	3	0	[(0, 0)]
U02-self	Threads(2)	1	pass	4	1	0	1	true	1	1	4	2	1	1	0	1	1	3	0	[(0, 0)]
U02-self	Threads(2)	4	pass	4	1	0	1	true	1	1	4	2	1	1	0	1	1	3	0	[(0, 0)]
U03-alias	Owned	0	pass	6	1	0	1	true	2	2	0	0	0	0	0	2	2	11	3	[]
U03-alias	Shared	0	pass	6	1	0	1	true	0	0	0	0	0	0	0	0	0	0	0	[]
U03-alias	Inline	1	pass	6	1	0	1	true	2	2	6	3	1	1	0	2	2	11	3	[]
U03-alias	Inline	4	pass	6	1	0	1	true	2	2	6	3	1	1	0	2	2	11	3	[]
U03-alias	Threads(1)	1	pass	6	1	0	1	true	2	2	6	3	1	1	0	2	2	11	3	[(0, 0), (0, 1)]
U03-alias	Threads(1)	4	pass	6	1	0	1	true	2	2	6	3	1	1	0	2	2	11	3	[(0, 0), (0, 1)]
U03-alias	Threads(2)	1	pass	6	1	0	1	true	2	2	6	3	1	1	0	2	2	11	3	[(0, 0), (1, 1)]
