case	mode	pass	solutions	exhausted	classes	retained_candidates	pattern_nodes	unions	domain_compares	enumeration_cache_hits	domain_cache_hits	filter_candidates	output_nodes	emitted	intersection_pairs	transition_pairs	productivity_checks	witness_nodes	ground_checks	membership_steps	membership_hits	enumeration_checks	size_partitions	enumeration_candidates	allocation_calls	build_requested	compile_requested	output_requested	requested_bytes	baseline_live	peak_live	final_live	build_us	compile_us	output_us
disjoint-h1-n7	Intersect	true	0	true	1	0	1	0	1	0	0	0	0	0	2	12	6	1	0	0	0	0	0	0	68	811	3403	0	4214	731	3685	819	7	11	0
disjoint-h1-n9	FilterFirst	true	0	true	1	0	1	0	1	0	0	527	0	0	0	0	0	0	4511	2307	0	54	87	1355	29936	811	1119248	0	1120059	733	497498	821	5	2986	0
disjoint-h1-n9	FilterSmallest	true	0	true	1	0	1	0	2	0	0	23	0	0	0	0	0	0	175	321	35	72	116	1378	28512	811	977012	0	977823	736	497501	824	15	3149	0
disjoint-h1-n9	Intersect	true	0	true	1	0	1	0	1	0	0	0	0	0	2	12	6	1	0	0	0	0	0	0	68	811	3403	0	4214	731	3685	819	7	14	0
disjoint-h2-n1	FilterFirst	true	0	true	2	0	3	0	3	0	1	1	0	0	0	0	0	0	1	1	0	6	3	3	93	1687	3937	0	5624	733	4169	934	5	13	0
disjoint-h2-n1	FilterSmallest	true	0	true	2	0	3	0	4	0	1	1	0	0	0	0	0	0	1	1	0	8	4	4	106	1687	5044	0	6731	736	4409	937	5	14	0
disjoint-h2-n1	Intersect	true	0	true	2	0	3	0	3	0	1	0	0	0	2	12	6	1	0	0	0	0	0	0	94	1687	3579	0	5266	731	4454	932	5	13	0
disjoint-h2-n3	FilterFirst	true	0	true	2	0	3	0	3	0	1	4	0	0	0	0	0	0	10	8	0	18	6	11	169	1687	8062	0	9749	733	6320	934	6	24	0
disjoint-h2-n3	FilterSmallest	true	0	true	2	0	3	0	4	0	1	2	0	0	0	0	0	0	4	5	0	24	8	13	188	1687	9574	0	11261	736	6323	937	5	25	0
disjoint-h2-n3	Intersect	true	0	true	2	0	3	0	3	0	1	0	0	0	2	12	6	1	0	0	0	0	0	0	94	1687	3579	0	5266	731	4454	932	8	12	0
disjoint-h2-n5	FilterFirst	true	0	true	2	0	3	0	3	0	1	18	0	0	0	0	0	0	80	54	0	30	21	47	681	1687	30309	0	31996	733	15928	934	5	67	0
disjoint-h2-n5	FilterSmallest	true	0	true	2	0	3	0	4	0	1	4	0	0	0	0	0	0	14	21	1	40	28	51	697	1687	29920	0	31607	736	15931	937	5	78	0
disjoint-h2-n5	Intersect	true	0	true	2	0	3	0	3	0	1	0	0	0	2	12	6	1	0	0	0	0	0	0	94	1687	3579	0	5266	731	4454	932	15	15	0
disjoint-h2-n7	FilterFirst	true	0	true	2	0	3	0	3	0	1	93	0	0	0	0	0	0	605	353	0	42	48	239	4198	1687	164863	0	166550	733	74151	934	6	364	0
