case	mode	pass	solutions	exhausted	classes	retained_candidates	pattern_nodes	unions	domain_compares	enumeration_cache_hits	domain_cache_hits	filter_candidates	output_nodes	emitted	intersection_pairs	transition_pairs	productivity_checks	witness_nodes	ground_checks	membership_steps	membership_hits	enumeration_checks	size_partitions	enumeration_candidates	allocation_calls	build_requested	compile_requested	output_requested	requested_bytes	baseline_live	peak_live	final_live	build_us	compile_us	output_us
merged-h2-n9	FilterSmallest	true	550	true	1	550	3	1	1	0	0	0	9922	550	0	0	0	0	0	0	0	27	30	550	25662	615	402231	557890	960736	734	739471	739471	6	981	1051
merged-h2-n9	Intersect	true	550	true	1	550	3	1	1	0	0	0	9922	550	0	0	1	1	0	0	0	27	30	550	25671	615	402491	557890	960996	729	739466	739466	4	1030	1078
merged-h4-n1	FilterFirst	true	2	true	1	2	7	3	3	0	0	0	14	2	0	0	0	0	0	0	0	3	2	2	87	1327	2589	782	4698	731	2851	2110	6	18	1
merged-h4-n1	FilterSmallest	true	2	true	1	2	7	3	3	0	0	0	14	2	0	0	0	0	0	0	0	3	2	2	87	1327	2589	782	4698	734	2854	2113	7	10	1
merged-h4-n1	Intersect	true	2	true	1	2	7	3	3	0	0	0	14	2	0	0	1	1	0	0	0	3	2	2	96	1327	2849	782	4958	729	3036	2108	5	16	1
merged-h4-n3	FilterFirst	true	6	true	1	6	7	3	3	0	0	0	74	6	0	0	0	0	0	0	0	9	3	6	207	1327	4367	3914	9608	731	5638	5638	7	25	9
merged-h4-n3	FilterSmallest	true	6	true	1	6	7	3	3	0	0	0	74	6	0	0	0	0	0	0	0	9	3	6	207	1327	4367	3914	9608	734	5641	5641	5	14	8
merged-h4-n3	Intersect	true	6	true	1	6	7	3	3	0	0	0	74	6	0	0	1	1	0	0	0	9	3	6	216	1327	4627	3914	9868	729	5636	5636	5	17	8
merged-h4-n5	FilterFirst	true	22	true	1	22	7	3	3	0	0	0	442	22	0	0	0	0	0	0	0	15	8	22	948	1327	12591	23482	37400	731	27878	27878	5	30	47
merged-h4-n5	FilterSmallest	true	22	true	1	22	7	3	3	0	0	0	442	22	0	0	0	0	0	0	0	15	8	22	948	1327	12591	23482	37400	734	27881	27881	5	32	45
merged-h4-n5	Intersect	true	22	true	1	22	7	3	3	0	0	0	442	22	0	0	1	1	0	0	0	15	8	22	957	1327	12851	23482	37660	729	27876	27876	4	29	42
merged-h4-n7	FilterFirst	true	102	true	1	102	7	3	3	0	0	0	2922	102	0	0	0	0	0	0	0	21	17	102	5940	1327	60827	150378	212532	731	177606	177606	4	124	226
merged-h4-n7	FilterSmallest	true	102	true	1	102	7	3	3	0	0	0	2922	102	0	0	0	0	0	0	0	21	17	102	5940	1327	60827	150378	212532	734	177609	177609	7	125	274
merged-h4-n7	Intersect	true	102	true	1	102	7	3	3	0	0	0	2922	102	0	0	1	1	0	0	0	21	17	102	5949	1327	61087	150378	212792	729	177604	177604	5	147	299
merged-h4-n9	FilterFirst	true	550	true	1	550	7	3	3	0	0	0	20394	550	0	0	0	0	0	0	0	27	30	550	41388	1327	402279	1071018	1474624	731	1252806	1252806	8	820	2084
merged-h4-n9	FilterSmallest	true	550	true	1	550	7	3	3	0	0	0	20394	550	0	0	0	0	0	0	0	27	30	550	41388	1327	402279	1071018	1474624	734	1252809	1252809	6	947	1943
merged-h4-n9	Intersect	true	550	true	1	550	7	3	3	0	0	0	20394	550	0	0	1	1	0	0	0	27	30	550	41397	1327	402539	1071018	1474884	729	1252804	1252804	5	707	1623
intersect_k-h1-n1	FilterFirst	true	1	true	1	1	1	0	3	0	0	2	1	1	0	0	0	0	3	3	0	3	2	2	74	1046	3686	193	4925	736	3345	1210	7	15	0
intersect_k-h1-n1	FilterSmallest	true	1	true	1	1	1	0	6	0	0	1	1	1	0	0	0	0	2	2	0	11	6	6	109	1046	6626	193	7865	739	4251	1213	8	16	0
intersect_k-h1-n1	Intersect	true	1	true	1	1	1	0	3	0	0	0	1	1	4	30	5	2	0	0	0	5	2	2	112	1046	7319	193	8558	734	3976	1208	5	21	0
intersect_k-h1-n3	FilterFirst	true	2	true	1	2	1	0	3	0	0	6	4	2	0	0	0	0	24	25	0	9	3	6	141	1046	7971	292	9309	736	4259	1408	6	20	0
intersect_k-h1-n3	FilterSmallest	true	2	true	1	2	1	0	6	0	0	2	4	2	0	0	0	0	8	8	0	33	11	19	234	1046	13377	292	14715	739	6913	1411	5	27	0
intersect_k-h1-n3	Intersect	true	2	true	1	2	1	0	3	0	0	0	4	2	4	30	5	2	0	0	0	15	5	5	153	1046	9910	292	11248	734	5632	1406	5	19	0
intersect_k-h1-n5	FilterFirst	true	4	true	1	4	1	0	3	0	0	22	14	4	0	0	0	0	174	172	2	15	8	22	484	1046	26909	686	28641	736	9333	2196	6	62	1
intersect_k-h1-n5	FilterSmallest	true	4	true	1	4	1	0	6	0	0	4	14	4	0	0	0	0	28	28	0	55	36	73	974	1046	43029	686	44761	739	20345	2199	4	87	1
intersect_k-h1-n5	Intersect	true	4	true	1	4	1	0	3	0	0	0	14	4	4	30	5	2	0	0	0	25	20	11	297	1046	15903	686	17635	734	7750	2194	5	30	1
intersect_k-h1-n7	FilterFirst	true	9	true	1	9	1	0	3	0	0	102	49	9	0	0	0	0	1259	1154	18	21	17	102	2526	1046	133076	3313	137435	736	40577	6298	5	245	3
intersect_k-h1-n7	FilterSmallest	true	9	true	1	9	1	0	6	0	0	9	49	9	0	0	0	0	98	98	0	77	81	350	5771	1046	211418	3313	215777	739	106008	6301	5	497	3
intersect_k-h1-n7	Intersect	true	9	true	1	9	1	0	3	0	0	0	49	9	4	30	5	2	0	0	0	35	47	26	720	1046	30347	3313	34706	734	12126	5960	6	59	4
intersect_k-h1-n9	FilterFirst	true	23	true	1	23	1	0	3	0	0	550	175	23	0	0	0	0	9197	7852	122	27	30	550	16096	1046	826702	10351	838099	736	271601	18838	5	1846	12
intersect_k-h1-n9	FilterSmallest	true	23	true	1	23	1	0	6	0	0	23	175	23	0	0	0	0	350	350	0	99	146	1928	40101	1046	1388314	10351	1399711	739	727692	18841	5	3936	12
intersect_k-h1-n9	Intersect	true	23	true	1	23	1	0	3	0	0	0	175	23	4	30	5	2	0	0	0	45	86	68	2070	1046	72362	10351	83759	734	26828	18404	8	137	14
intersect_k-h2-n1	FilterFirst	true	1	true	2	1	3	0	7	0	1	2	3	1	0	0	0	0	3	3	0	3	2	2	109	2141	3862	291	6294	736	4301	1421	7	13	0
intersect_k-h2-n1	FilterSmallest	true	1	true	2	1	3	0	10	0	1	1	3	1	0	0	0	0	2	2	0	11	6	6	144	2141	6802	291	9234	739	5207	1424	7	17	0
intersect_k-h2-n1	Intersect	true	1	true	2	1	3	0	7	0	1	0	3	1	4	30	5	2	0	0	0	5	2	2	147	2141	7495	291	9927	734	4932	1419	6	18	0
intersect_k-h2-n3	FilterFirst	true	4	true	2	2	3	0	7	0	1	6	20	4	0	0	0	0	24	25	0	9	3	6	196	2141	8147	980	11268	736	5215	2209	6	22	1
intersect_k-h2-n3	FilterSmallest	true	4	true	2	2	3	0	10	0	1	2	20	4	0	0	0	0	8	8	0	33	11	19	289	2141	13553	980	16674	739	7869	2212	7	30	2
intersect_k-h2-n3	Intersect	true	4	true	2	2	3	0	7	0	1	0	20	4	4	30	5	2	0	0	0	15	5	5	208	2141	10086	980	13207	734	6588	2207	17	32	1
intersect_k-h2-n5	FilterFirst	true	16	true	2	4	3	0	7	0	1	22	128	16	0	0	0	0	174	172	2	15	8	22	683	2141	27085	6848	36074	736	10289	7895	8	52	8
intersect_k-h2-n5	FilterSmallest	true	16	true	2	4	3	0	10	0	1	4	128	16	0	0	0	0	28	28	0	55	36	73	1173	2141	43205	6848	52194	739	21301	7898	7	109	17
intersect_k-h2-n5	Intersect	true	16	true	2	4	3	0	7	0	1	0	128	16	4	30	5	2	0	0	0	25	20	11	496	2141	16079	6848	25068	734	8706	7893	8	37	13
intersect_k-h2-n7	FilterFirst	true	81	true	2	9	3	0	7	0	1	102	963	81	0	0	0	0	1259	1154	18	21	17	102	3896	2141	133252	55395	190788	736	53117	53117	7	275	80
intersect_k-h2-n7	FilterSmallest	true	81	true	2	9	3	0	10	0	1	9	963	81	0	0	0	0	98	98	0	77	81	350	7141	2141	211594	55395	269130	739	106964	53120	7	511	87
intersect_k-h2-n7	Intersect	true	81	true	2	9	3	0	7	0	1	0	963	81	4	30	5	2	0	0	0	35	47	26	2090	2141	30523	55395	88059	734	52779	52779	4	38	64
intersect_k-h2-n9	FilterFirst	true	529	true	2	23	3	0	7	0	1	550	8579	529	0	0	0	0	9197	7852	122	27	30	550	28486	2141	826878	493091	1322110	736	454075	454075	5	1111	474
intersect_k-h2-n9	FilterSmallest	true	529	true	2	23	3	0	10	0	1	23	8579	529	0	0	0	0	350	350	0	99	146	1928	52491	2141	1388490	493091	1883722	739	728648	454078	4	2627	475
intersect_k-h2-n9	Intersect	true	529	true	2	23	3	0	7	0	1	0	8579	529	4	30	5	2	0	0	0	45	86	68	14460	2141	72538	493091	567770	734	453641	453641	9	161	848
intersect_k-h4-n1	FilterFirst	true	1	true	4	1	7	0	15	0	3	2	7	1	0	0	0	0	3	3	0	3	2	2	179	4331	4214	487	9032	736	6213	1843	11	20	0
intersect_k-h4-n1	FilterSmallest	true	1	true	4	1	7	0	18	0	3	1	7	1	0	0	0	0	2	2	0	11	6	6	214	4331	7154	487	11972	739	7119	1846	8	122	0
intersect_k-h4-n1	Intersect	true	1	true	4	1	7	0	15	0	3	0	7	1	4	30	5	2	0	0	0	5	2	2	217	4331	7847	487	12665	734	6844	1841	8	23	0
intersect_k-h4-n3	FilterFirst	true	16	true	4	2	7	0	15	0	3	6	176	16	0	0	0	0	24	25	0	9	3	6	490	4331	8499	9200	22030	736	10079	10079	8	21	16
intersect_k-h4-n3	FilterSmallest	true	16	true	4	2	7	0	18	0	3	2	176	16	0	0	0	0	8	8	0	33	11	19	583	4331	13905	9200	27436	739	10082	10082	8	29	16
intersect_k-h4-n3	Intersect	true	16	true	4	2	7	0	15	0	3	0	176	16	4	30	5	2	0	0	0	15	5	5	502	4331	10438	9200	23969	734	10077	10077	8	22	15
