case	mode	pass	steps	applications	introductions	equations	pairs	dereferences	occurs	head_candidates	splits	failed	raw	answers	max_frontier	pending	map_visits	map_allocations	snapshot_copies	pending_allocations	term_requests	term_nodes	observer_pairs	observer_scans	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
app-add-left	Copy	true	55	6	6	24	38	37	33	6	6	6	1	1	2	0	159	150	51	49	28	18	0	0	538	32206	4406	14610	11530	156
app-add-repeated	Persistent	true	46	5	5	20	28	38	25	5	5	5	1	1	2	0	130	73	0	41	20	15	0	0	377	23244	4223	13161	10477	115
app-add-repeated	Copy	true	46	5	5	20	28	38	25	5	5	5	1	1	2	0	130	108	35	41	20	15	0	0	427	25724	4217	13155	10471	139
app-add-right	Persistent	true	25	3	3	9	13	13	16	3	3	3	1	1	2	0	37	26	0	25	18	12	0	0	258	14973	4414	10372	9752	40
app-add-right	Copy	true	25	3	3	9	13	13	16	3	3	3	1	1	2	0	37	38	12	25	18	12	0	0	276	15837	4408	10488	9746	36
app-infer-identity	Persistent	true	54	5	5	18	32	44	25	5	10	10	1	1	3	0	161	74	0	61	65	54	0	0	592	38242	4920	20405	19177	126
app-infer-identity	Copy	true	54	5	5	18	32	44	25	5	10	10	1	1	3	0	161	140	66	61	65	54	0	0	688	42978	4914	21521	19171	107
app-lambda-identity	Persistent	true	112	6	7	37	61	42	31	14	28	28	1	1	6	0	205	87	0	151	117	64	0	0	1307	77263	16581	53798	47348	178
app-lambda-identity	Copy	true	112	6	7	37	61	42	31	14	28	28	1	1	6	0	205	241	154	151	117	64	0	0	1524	88183	16575	54800	47342	192
app-lambda-norm-residual	Persistent	true	2	0	1	0	0	0	0	5	0	0	1	1	1	0	16	1	0	1	1	1	0	0	276	18572	16327	32596	32404	85
app-lambda-norm-residual	Copy	true	2	0	1	0	0	0	0	5	0	0	1	1	1	0	16	1	0	1	1	1	0	0	276	18572	16321	32590	32398	83
app-sk-duplication	Persistent	true	431	19	19	139	475	468	424	19	117	117	1	1	5	0	3371	1052	0	587	867	451	0	0	5788	404302	14912	175161	141601	611
app-sk-duplication	Copy	true	431	19	19	139	475	468	424	19	117	117	1	1	5	0	3371	4919	3867	587	867	451	0	0	10671	668910	14906	175155	141595	900
app-sk-identity	Persistent	true	177	7	7	57	190	159	109	7	49	49	1	1	5	0	756	251	0	243	366	191	0	0	2322	146472	14367	70836	67092	286
