case	mode	pass	quanta	projected_steps	expansions	projected_applications	introductions	projected_introductions	splits	failed	raw	answers	support_reads	support_writes	occurrence_scans	binding_scans	match_candidates	term_visits	term_copies	unification_pairs	occurs_visits	previewed	queue_scans	queue_refs	work_nodes	max_frontier	pending	retained_occurrences	variables	occurrence_births	binding_edges	tokens	support_memberships	observer_pairs	observer_scans	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
grid-carry-k0-w64-n0	Singleton	true	130	130	64	64	65	65	0	0	1	1	194	258	130	0	65	388	10790	0	0	130	130	64	65	1	0	1	0	65	0	64	130	0	0	22673	689827	5457	34533	34086	1236
grid-carry-k0-w64-n0	Ready	true	130	130	64	64	65	65	0	0	1	1	194	258	130	0	65	388	10790	0	0	130	130	64	65	1	0	1	0	65	0	64	130	0	0	22673	689827	5453	34529	34082	1247
grid-carry-k0-w64-n16	Singleton	true	146	146	64	64	81	81	0	0	1	1	210	290	2194	0	65	524	11062	0	0	146	146	64	81	1	0	17	0	81	0	64	162	0	0	24216	740315	21187	79384	78304	1365
grid-carry-k0-w64-n16	Ready	true	146	146	64	64	81	81	0	0	1	1	210	290	2194	0	65	524	11062	0	0	146	146	64	81	1	0	17	0	81	0	64	162	0	0	24216	740315	21183	79380	78300	1367
grid-carry-k0-w64-n128	Singleton	true	258	258	64	64	193	193	0	0	1	1	322	514	16642	0	65	8644	27302	0	0	258	258	64	193	1	0	129	0	193	0	64	386	0	0	106689	2858275	835093	2158818	2152362	6344
grid-carry-k0-w64-n128	Ready	true	258	258	64	64	193	193	0	0	1	1	322	514	16642	0	65	8644	27302	0	0	258	258	64	193	1	0	129	0	193	0	64	386	0	0	106689	2858275	835089	2158814	2152358	5534
grid-carry-k0-w256-n0	Singleton	true	514	514	256	256	257	257	0	0	1	1	770	1026	514	0	257	1540	166022	0	0	514	514	256	257	1	0	1	0	257	0	256	514	0	0	336274	8768051	14867	123216	122904	17659
grid-carry-k0-w256-n0	Ready	true	514	514	256	256	257	257	0	0	1	1	770	1026	514	0	257	1540	166022	0	0	514	514	256	257	1	0	1	0	257	0	256	514	0	0	336274	8768051	14863	123212	122900	17836
grid-carry-k0-w256-n16	Singleton	true	530	530	256	256	273	273	0	0	1	1	786	1058	8722	0	257	1676	166294	0	0	530	530	256	273	1	0	17	0	273	0	256	546	0	0	337817	8818539	30597	168202	167122	16270
grid-carry-k0-w256-n16	Ready	true	530	530	256	256	273	273	0	0	1	1	786	1058	8722	0	257	1676	166294	0	0	530	530	256	273	1	0	17	0	273	0	256	546	0	0	337817	8818539	30593	168198	167118	16901
