case	mode	pass	steps	applications	expansions	cache_hits	cache_misses	cache_retained	rules_examined	occurrence_scans	candidates	binding_reads	term_visits	unification_pairs	occurs_visits	fresh_variables	work_nodes	snapshot_entries	introductions	splits	failed	raw	answers	max_frontier	pending	retained_roots	retained_bindings	retained_pending	observer_pairs	observer_scans	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
U03-alias	Cached	true	6	1	1	0	1	1	2	1	1	6	14	2	3	2	4	1	1	0	0	1	1	1	0	0	0	0	0	0	77	9223	1736	6413	4924	10
U04-occurs	General	true	5	1	1	0	0	0	1	1	1	5	11	2	4	2	4	1	1	0	1	0	0	1	0	0	0	0	0	0	55	7105	1483	4982	2302	11
U04-occurs	Local	true	5	1	1	0	0	0	1	1	1	5	11	2	4	2	4	1	1	0	1	0	0	1	0	0	0	0	0	0	55	7105	1481	4980	2300	13
U04-occurs	Cached	true	5	1	1	0	1	1	1	1	1	5	11	2	4	2	4	1	1	0	1	0	0	1	0	0	0	0	0	0	57	8281	1482	6157	3878	11
U05-conditional-occurs	General	true	6	1	1	0	0	0	2	1	1	5	13	2	3	2	4	0	1	1	1	1	1	2	0	0	0	0	0	0	67	7570	1713	5198	3463	15
U05-conditional-occurs	Local	true	6	1	1	0	0	0	2	1	1	5	13	2	3	2	4	0	1	1	1	1	1	2	0	0	0	0	0	0	67	7570	1711	5196	3461	15
U05-conditional-occurs	Cached	true	6	1	1	0	1	1	2	1	1	5	13	2	3	2	4	0	1	1	1	1	1	2	0	0	0	0	0	0	69	8746	1712	6373	5024	18
U06-union-cycle	General	true	7	1	1	0	0	0	3	1	1	10	18	2	4	2	4	0	1	1	0	2	2	2	0	0	0	0	1	0	86	9089	2048	5976	4344	22
U06-union-cycle	Local	true	7	1	1	0	0	0	3	1	1	10	18	2	4	2	4	0	1	1	0	2	2	2	0	0	0	0	1	0	86	9089	2046	5974	4342	17
U06-union-cycle	Cached	true	7	1	1	0	1	1	3	1	1	10	18	2	4	2	4	0	1	1	0	2	2	2	0	0	0	0	1	0	88	10265	2047	7585	5953	21
V01-fresh	General	true	7	2	2	0	0	0	3	4	2	2	4	0	0	2	4	0	4	0	0	1	1	1	0	0	0	0	0	0	56	4810	1304	3773	2547	15
V01-fresh	Local	true	7	2	2	0	0	0	3	2	2	2	4	0	0	2	4	0	4	0	0	1	1	1	0	0	0	0	0	0	55	4794	1302	3771	2545	12
V01-fresh	Cached	true	7	2	2	0	2	2	3	2	2	2	4	0	0	2	4	0	4	0	0	1	1	1	0	0	0	0	0	0	56	5338	1303	4428	3556	14
app-add-decompose	General	true	40	4	4	0	0	0	12	4	4	39	92	19	28	10	33	68	4	4	1	4	4	2	0	0	0	0	10	0	635	44033	4374	13422	9496	52
app-add-decompose	Local	true	40	4	4	0	0	0	12	4	4	39	92	19	28	10	33	68	4	4	1	4	4	2	0	0	0	0	10	0	635	44033	4372	13420	9494	52
app-add-decompose	Cached	true	40	4	4	0	4	4	12	4	4	39	92	19	28	10	33	68	4	4	1	4	4	2	0	0	0	0	10	0	647	47253	4373	21203	18027	53
app-add-failure	General	true	24	3	3	0	0	0	3	3	3	11	57	14	9	7	25	27	3	3	4	0	0	2	0	0	0	0	0	0	432	28659	3019	9843	5273	39
