case	mode	pass	success	input_nodes	calls	computed	hits	cache_entries	residual_refs	certificate_rules	certificate_terms	residuals	allocation_calls	build_requested	solve_requested	export_requested	requested_bytes	baseline_live	peak_live	final_live	build_us	solve_us	export_us
unshared-d0-r1	Memo	true	true	1	1	1	0	1	0	4	18	0	113	6569	456	76	7101	726	5875	1331	11	0	0
unshared-d0-r8	Direct	true	true	8	8	8	0	0	0	4	18	0	126	7080	0	76	7156	728	6388	1388	11	0	0
unshared-d0-r8	Memo	true	true	8	8	8	0	8	0	4	18	0	127	7080	456	76	7612	726	6386	1842	8	1	0
unshared-d0-r64	Direct	true	true	64	64	64	0	0	0	4	18	0	238	11168	0	76	11244	729	10477	5477	19	0	0
unshared-d0-r64	Memo	true	true	64	64	64	0	64	0	4	18	0	248	11168	4656	76	15900	727	10475	10131	12	5	0
unshared-d1-r1	Direct	true	true	3	3	3	0	0	0	4	18	0	117	6715	0	76	6791	728	6023	1023	10	0	0
unshared-d1-r1	Memo	true	true	3	3	3	0	3	0	4	18	0	118	6715	456	76	7247	726	6021	1477	12	0	0
unshared-d1-r8	Direct	true	true	24	24	24	0	0	0	4	18	0	166	8248	0	76	8324	728	7556	2556	15	0	0
unshared-d1-r8	Memo	true	true	24	24	24	0	24	0	4	18	0	170	8248	1920	76	10244	726	7554	4474	15	2	0
unshared-d1-r64	Direct	true	true	192	192	192	0	0	0	4	18	0	558	20512	0	76	20588	729	19821	14821	36	2	0
unshared-d1-r64	Memo	true	true	192	192	192	0	192	0	4	18	0	590	20512	15072	76	35660	727	29891	29891	34	29	0
unshared-d4-r1	Direct	true	true	31	31	31	0	0	0	4	18	0	187	8759	0	76	8835	728	8067	3067	15	0	0
unshared-d4-r1	Memo	true	true	31	31	31	0	31	0	4	18	0	192	8759	2376	76	11211	726	8065	5441	16	5	0
unshared-d4-r8	Direct	true	true	248	248	248	0	0	0	4	18	0	726	24600	0	76	24676	728	23908	18908	29	1	0
unshared-d4-r8	Memo	true	true	248	248	248	0	248	0	4	18	0	767	24600	19272	76	43948	726	38178	38178	43	37	0
unshared-d4-r64	Direct	true	true	1984	1984	1984	0	0	0	4	18	0	5038	151328	0	76	151404	729	150637	145637	269	22	0
unshared-d4-r64	Memo	true	true	1984	1984	1984	0	1984	0	4	18	0	5367	151328	154440	76	305844	727	300075	300075	264	326	0
unshared-d8-r1	Direct	true	true	511	511	511	0	0	0	4	18	0	1387	43799	0	76	43875	728	43107	38107	81	7	0
unshared-d8-r1	Memo	true	true	511	511	511	0	511	0	4	18	0	1471	43799	39360	76	83235	726	77465	77465	53	53	0
unshared-d8-r8	Direct	true	true	4088	4088	4088	0	0	0	4	18	0	10326	304920	0	76	304996	728	304228	299228	571	54	0
unshared-d8-r8	Memo	true	true	4088	4088	4088	0	4088	0	4	18	0	11006	304920	319296	76	624292	726	618522	618522	622	678	0
unshared-d8-r64	Direct	true	true	32704	32704	32704	0	0	0	4	18	0	81838	2393888	0	76	2393964	729	2393197	2388197	4861	599	0
unshared-d8-r64	Memo	true	true	32704	32704	32704	0	32704	0	4	18	0	87288	2393888	2559888	76	4953852	727	4948083	4948083	4194	4290	0
unshared-d12-r1	Direct	true	true	8191	8191	8191	0	0	0	4	18	0	20587	604439	0	76	604515	729	603748	598748	1161	111	0
unshared-d12-r1	Memo	true	true	8191	8191	8191	0	8191	0	4	18	0	21952	604439	641160	76	1245675	727	1239906	1239906	1006	1333	0
unshared-d12-r8	Direct	true	true	65528	65528	65528	0	0	0	4	18	0	163926	4790040	0	76	4790116	729	4789349	4784349	6549	1468	0
unshared-d12-r8	Memo	true	true	65528	65528	65528	0	65528	0	4	18	0	174847	4790040	5129736	76	9919852	727	9914083	9914083	7677	9372	0
unshared-d12-r64	Direct	true	true	524224	524224	524224	0	0	0	4	18	0	1310638	38274848	0	76	38274924	730	38274158	38269158	53181	9906	0
unshared-d12-r64	Memo	true	true	524224	524224	524224	0	524224	0	4	18	0	1398007	38274848	41038344	76	79313268	728	79307500	79307500	49468	87176	0
