case	mode	pass	steps	pairs	root_reads	output_root_reads	absence_visits	occurs_visits	splits	copied_entries	completed_regions	failed_regions	eager_projection_visits	output_projection_visits	eager_nodes	bindings	raw	answers	max_frontier	retained_regions	observer_pairs	observer_scans	observer_backtracks	allocation_calls	construct_requested	solve_requested	observe_requested	requested_bytes	baseline_live	peak_live	final_live	construct_us	solve_us	observe_us
opaque-k8-w256	Eager	true	512	256	70656	68096	67840	0	0	0	256	0	68096	67840	68096	256	256	256	256	256	8452736	0	0	350117	20459	6426264	3508912	9955635	3345367	11784130	11769794	32	11885	89855
opaque-k8-w256	Named	true	2	1	2	70144	281	0	0	0	1	0	0	67840	0	1	256	256	1	1	8452736	0	0	136134	20459	11424	3490480	3522363	3345367	6725586	6711250	28	29	86884
prefix-k0-w0	Eager	true	2	1	4	0	0	0	0	0	1	0	2	0	2	0	1	1	1	1	0	0	0	17	150	846	520	1516	917	2075	1851	0	4	1
prefix-k0-w0	Named	true	2	1	2	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	13	150	712	520	1382	917	2075	1851	0	1	0
prefix-k0-w1	Eager	true	3	2	8	0	0	0	0	0	1	0	4	0	4	0	1	1	1	1	0	0	0	29	296	992	520	1808	917	2221	1997	1	4	0
prefix-k0-w1	Named	true	3	2	4	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	19	296	712	520	1528	917	2221	1997	1	1	1
prefix-k0-w8	Eager	true	10	9	36	0	0	0	0	0	1	0	18	0	18	0	1	1	1	1	0	0	0	115	1318	2318	520	4156	917	4265	3019	2	8	0
prefix-k0-w8	Named	true	10	9	18	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	63	1318	1016	520	2854	917	3243	3019	2	2	0
prefix-k0-w64	Eager	true	66	65	260	0	0	0	0	0	1	0	130	0	130	0	1	1	1	1	0	0	0	805	9494	12558	520	22572	918	22682	11196	18	45	0
prefix-k0-w64	Named	true	66	65	130	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	417	9494	3080	520	13094	918	13204	11196	19	12	0
prefix-k0-w256	Eager	true	258	257	1028	0	0	0	0	0	1	0	514	0	514	0	1	1	1	1	0	0	0	3172	37526	47910	520	85956	919	86067	39229	124	180	1
prefix-k0-w256	Named	true	258	257	514	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1632	37526	10400	520	48446	919	48557	39229	79	29	3
prefix-k1-w0	Eager	true	6	4	18	4	2	0	0	0	2	0	8	2	8	2	2	2	2	2	1	0	0	65	432	2038	1494	3964	1075	3587	3123	1	4	2
