case	mode	pass	steps	applications	introductions	equations	pairs	dereferences	occurs	head_candidates	splits	failed	raw	answers	max_frontier	pending	map_visits	map_allocations	snapshot_copies	pending_allocations	term_requests	term_nodes	observer_pairs	observer_scans	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
carry-k1-w4-n0	Copy	true	24	9	10	2	2	7	2	11	1	0	2	2	2	0	59	41	2	13	8	8	1	0	304	17311	110535	115931	115095	18
carry-k1-w4-n3	Persistent	true	27	9	13	2	2	7	2	11	1	0	2	2	2	0	144	88	0	16	14	8	1	0	449	23622	107862	115448	114300	27
carry-k1-w4-n3	Copy	true	27	9	13	2	2	7	2	11	1	0	2	2	2	0	144	93	5	16	14	8	1	0	455	23990	107862	115448	114300	26
carry-k2-w0-n0	Persistent	true	19	3	3	6	6	25	6	7	3	0	4	4	4	0	65	27	0	12	8	4	8	0	290	15729	103842	110478	109774	17
carry-k2-w0-n0	Copy	true	19	3	3	6	6	25	6	7	3	0	4	4	4	0	65	38	11	12	8	4	8	0	306	16545	103842	110478	109774	18
carry-k2-w0-n3	Persistent	true	22	3	6	6	6	25	6	7	3	0	4	4	4	0	95	39	0	15	14	6	8	0	460	21422	99865	110811	109795	26
carry-k2-w0-n3	Copy	true	22	3	6	6	6	25	6	7	3	0	4	4	4	0	95	59	20	15	14	6	8	0	485	22886	99865	110811	109795	28
carry-k2-w1-n0	Persistent	true	27	7	7	6	6	25	6	11	3	0	4	4	4	0	85	39	0	16	9	5	8	0	357	19548	93707	100649	99865	22
carry-k2-w1-n0	Copy	true	27	7	7	6	6	25	6	11	3	0	4	4	4	0	85	50	11	16	9	5	8	0	373	20364	93707	100649	99865	22
carry-k2-w1-n3	Persistent	true	30	7	10	6	6	25	6	11	3	0	4	4	4	0	131	59	0	19	15	6	8	0	532	25416	89681	100707	99611	31
carry-k2-w1-n3	Copy	true	30	7	10	6	6	25	6	11	3	0	4	4	4	0	131	79	20	19	15	6	8	0	557	26880	89681	100707	99611	31
carry-k2-w4-n0	Persistent	true	51	19	19	6	6	25	6	23	3	0	4	4	4	0	177	99	0	28	12	8	8	0	604	32701	83474	91214	90190	37
carry-k2-w4-n0	Copy	true	51	19	19	6	6	25	6	23	3	0	4	4	4	0	177	110	11	28	12	8	8	0	620	33517	83474	91214	90190	36
carry-k2-w4-n3	Persistent	true	54	19	22	6	6	25	6	23	3	0	4	4	4	0	263	139	0	31	18	8	8	0	793	39960	79301	91091	89755	46
carry-k2-w4-n3	Copy	true	54	19	22	6	6	25	6	23	3	0	4	4	4	0	263	159	20	31	18	8	8	0	818	41424	79301	91091	89755	46
carry-k3-w0-n0	Persistent	true	40	7	4	14	14	69	14	15	7	0	8	8	8	0	215	75	0	25	16	4	44	0	618	32849	72947	85699	84807	37
carry-k3-w0-n0	Copy	true	40	7	4	14	14	69	14	15	7	0	8	8	8	0	215	113	38	25	16	4	44	0	673	35641	72947	85699	84807	38
carry-k3-w0-n3	Persistent	true	43	7	7	14	14	69	14	15	7	0	8	8	8	0	303	98	0	28	22	6	44	0	921	43502	65404	86186	84982	52
carry-k3-w0-n3	Copy	true	43	7	7	14	14	69	14	15	7	0	8	8	8	0	303	157	59	28	22	6	44	0	997	47806	65404	86186	84982	58
carry-k3-w1-n0	Persistent	true	56	15	12	14	14	69	14	23	7	0	8	8	8	0	255	99	0	33	17	5	44	0	745	40020	54012	67070	66098	47
carry-k3-w1-n0	Copy	true	56	15	12	14	14	69	14	23	7	0	8	8	8	0	255	137	38	33	17	5	44	0	800	42812	54012	67070	66098	47
carry-k3-w1-n3	Persistent	true	59	15	15	14	14	69	14	23	7	0	8	8	8	0	407	154	0	36	23	6	44	0	1077	52576	46420	67282	65998	61
carry-k3-w1-n3	Copy	true	59	15	15	14	14	69	14	23	7	0	8	8	8	0	407	213	59	36	23	6	44	0	1153	56880	46420	67282	65998	63
carry-k3-w4-n0	Persistent	true	104	39	36	14	14	69	14	47	7	0	8	8	8	0	439	227	0	57	20	8	44	0	1236	65789	34979	48835	47623	190
carry-k3-w4-n0	Copy	true	104	39	36	14	14	69	14	47	7	0	8	8	8	0	439	265	38	57	20	8	44	0	1291	68581	34979	48835	47623	91
carry-k3-w4-n3	Persistent	true	107	39	39	14	14	69	14	47	7	0	8	8	8	0	767	378	0	60	26	8	44	0	1646	85112	27240	48866	47342	94
carry-k3-w4-n3	Copy	true	107	39	39	14	14	69	14	47	7	0	8	8	8	0	767	437	59	60	26	8	44	0	1722	89416	27240	48866	47342	97
grid-carry-k0-w0-n0	Persistent	true	2	0	1	0	0	0	0	1	0	0	1	1	1	0	3	1	0	1	2	2	0	0	60	3740	3220	5922	5730	4
grid-carry-k0-w0-n0	Copy	true	2	0	1	0	0	0	0	1	0	0	1	1	1	0	3	1	0	1	2	2	0	0	60	3740	3220	5922	5730	3
