mode,family,n,reuse,requested_bytes,peak_above_start,wall_median_ns,wall_min_ns,wall_max_ns
original-conditional,choices,1,1,65682,13783,81717,80714,84974
original-conditional,choices,1,4,231969,13783,256995,142673,277886
original-conditional,choices,3,1,333714,40287,422546,266786,446973
original-conditional,choices,3,4,1284993,40287,1638600,1583670,1687501
original-conditional,duplicates,0,1,14727,8333,13556,8021,15424
original-conditional,duplicates,0,4,37191,8333,26362,25831,27362
original-conditional,duplicates,1,1,65681,13781,82554,81047,85026
original-conditional,duplicates,1,4,231965,13781,253118,251160,288427
original-conditional,duplicates,3,1,333713,40285,431512,424975,449597
original-conditional,duplicates,3,4,1284989,40285,1571876,917863,1698063
original-conditional,shared,0,1,14727,8333,14370,13541,19325
original-conditional,shared,0,4,37191,8333,25561,14574,28827
original-conditional,shared,1,1,65682,13783,81592,80866,81724
original-conditional,shared,1,4,231969,13783,251395,139383,286234
original-conditional,shared,3,1,313638,31315,384586,265409,387774
original-conditional,shared,3,4,1205841,31315,1392115,846119,1506704
original-conditional,spare,0,1,25947,10471,31960,29875,33652
original-conditional,spare,0,4,75405,10471,75799,59990,92379
original-conditional,spare,1,1,93765,19882,116898,111702,121601
original-conditional,spare,1,4,331797,19882,370249,369203,385468
original-conditional,spare,3,1,446111,55212,514922,501033,519626
original-conditional,spare,3,4,1714301,55212,1132878,1046482,1892236
fused-scan,plain,0,1,17849,8600,20268,11323,23644
fused-scan,plain,0,4,30413,8600,30168,16868,36232
fused-scan,plain,1,1,28888,11102,36933,20725,40481
fused-scan,plain,1,4,61933,11102,75909,71167,82745
fused-scan,plain,3,1,42604,14030,58870,36696,64018
fused-scan,plain,3,4,104281,14030,128470,73989,140283
fused-scan,choices,0,1,20364,9853,23471,22144,40686
fused-scan,choices,0,4,32928,9853,34620,17706,42507
fused-scan,choices,1,1,38599,16619,43973,43328,49625
fused-scan,choices,1,4,93232,16619,89916,49672,191016
fused-scan,choices,3,1,108239,48861,117205,80291,133542
fused-scan,choices,3,4,359276,48861,355870,212447,364446
fused-scan,duplicates,0,1,20364,9853,21639,13550,23697
fused-scan,duplicates,0,4,32928,9853,35403,17758,36565
fused-scan,duplicates,1,1,37847,16110,42607,24446,42876
fused-scan,duplicates,1,4,90224,16110,95495,59816,98671
fused-scan,duplicates,3,1,105813,46678,116772,70023,139683
fused-scan,duplicates,3,4,349572,46678,336396,198970,348343
fused-scan,shared,0,1,20364,9853,21776,17231,22619
fused-scan,shared,0,4,32928,9853,32679,21829,35625
fused-scan,shared,1,1,38599,16619,43567,24303,45237
fused-scan,shared,1,4,93232,16619,91289,88786,105415
fused-scan,shared,3,1,75515,28480,89170,87733,104442
fused-scan,shared,3,4,228380,28480,224585,154175,242931
fused-scan,spare,0,1,25953,10483,31624,30975,36802
fused-scan,spare,0,4,51795,10483,58604,38429,58921
fused-scan,spare,1,1,35420,12882,46844,32208,51031
fused-scan,spare,1,4,79277,12882,89671,88779,97044
fused-scan,spare,3,1,50816,16258,66421,55687,74924
fused-scan,spare,3,4,126713,16258,155738,149177,290684
fused-indexed,plain,0,1,17849,8600,20578,19994,20799
fused-indexed,plain,0,4,30413,8600,31240,29452,32181
fused-indexed,plain,1,1,33944,13782,41585,40865,44045
fused-indexed,plain,1,4,75701,13782,77411,76694,89205
fused-indexed,plain,3,1,51212,19814,67117,39873,73303
fused-indexed,plain,3,4,132257,19814,176277,160670,290065
fused-indexed,choices,0,1,20364,9853,22585,13436,27907
fused-indexed,choices,0,4,32928,9853,33226,20989,33527
fused-indexed,choices,1,1,43719,18267,50796,50256,54968
fused-indexed,choices,1,4,107256,18267,105281,55104,128776
fused-indexed,choices,3,1,124903,55453,138835,138306,190667
fused-indexed,choices,3,4,419476,55453,405385,237948,442672
fused-indexed,duplicates,0,1,20364,9853,24453,21820,173982
fused-indexed,duplicates,0,4,32928,9853,33071,32072,36774
fused-indexed,duplicates,1,1,42967,17758,54039,49961,67686
fused-indexed,duplicates,1,4,104248,17758,101541,100177,104645
fused-indexed,duplicates,3,1,122477,53270,138979,134974,156428
fused-indexed,duplicates,3,4,409772,53270,263707,228485,410720
fused-indexed,shared,0,1,20364,9853,21770,21531,24119
fused-indexed,shared,0,4,32928,9853,33787,32821,35312
fused-indexed,shared,1,1,43719,18267,50215,28491,52414
fused-indexed,shared,1,4,107256,18267,111511,65237,132687
fused-indexed,shared,3,1,92907,38624,109592,99062,110716
fused-indexed,shared,3,4,291492,38624,284021,157783,437204
fused-indexed,spare,0,1,29945,12739,37675,20232,43645
fused-indexed,spare,0,4,63131,12739,63386,36854,65411
fused-indexed,spare,1,1,41436,15930,52817,29951,58265
fused-indexed,spare,1,4,96885,15930,107687,58237,108224
fused-indexed,spare,3,1,60384,22778,78508,58489,86419
fused-indexed,spare,3,4,158529,22778,186725,103006,193697
fused-special,plain,0,1,19661,8672,21458,11784,22776
fused-special,plain,0,4,32225,8672,32615,32081,34345
fused-special,plain,1,1,30700,11174,39766,38173,42241
fused-special,plain,1,4,63745,11174,71869,50590,83259
fused-special,plain,3,1,44416,14102,61477,60320,84832
fused-special,plain,3,4,106093,14102,128958,77528,132998
fused-special,choices,0,1,22176,9925,23342,15702,25169
fused-special,choices,0,4,34740,9925,34106,17668,35843
