mode,family,n,reuse,requested_bytes,peak_above_start,wall_median_ns,wall_min_ns,wall_max_ns
fused-demand,spare,1,1,36296,10994,40929,29568,65364
fused-demand,spare,1,4,85157,10994,99858,54285,120176
fused-demand,spare,3,1,60562,15195,66527,50351,87943
fused-demand,spare,3,4,166621,15195,119636,100098,190823
fused-demand,history,0,1,11806,6576,19855,11651,58942
fused-demand,history,0,4,17968,6576,27238,11994,28762
fused-demand,history,1,1,199674,19545,142656,126406,162174
fused-demand,history,1,4,725055,19545,448368,294841,486349
fused-demand,history,3,1,1248500,46829,619427,586502,663721
fused-demand,history,3,4,4858295,46829,1544441,1349523,2332559
