kind	family	mode	repetitions	total_ns	preparation_ns	setup_ns	execution_ns	disposal_ns	first_ns_sum	raw	min_ns	max_ns	memory_exact_replay	requested_bytes	allocation_calls	peak_live
time	nested	global-scan	5	1292505	5958	154034	1095688	36699	868475	136	1289723	1338673	NA	NA	NA	NA
time	nested	graph	5	2619121	1135	11610	2562193	43728	2554907	136	2589671	2749727	NA	NA	NA	NA
time	nested	graph-original	5	2735235	1210	11173	2677772	44719	2669921	136	2687999	2781065	NA	NA	NA	NA
time	nested	words	5	210427	20541	4838	150152	34916	4918	136	203775	223160	NA	NA	NA	NA
time	plain	conditional	5	1000804	2662	50824	923228	18842	921449	16	987908	1018513	NA	NA	NA	NA
time	plain	global-index	5	315962	2876	71459	236190	3915	235235	16	305153	344673	NA	NA	NA	NA
time	plain	global-scan	5	246942	3292	76639	161836	5200	160935	16	214776	266366	NA	NA	NA	NA
time	plain	graph	5	330319	600	31031	287484	12645	284086	16	309562	350362	NA	NA	NA	NA
time	plain	graph-original	5	317853	601	30219	275175	11884	271334	16	308293	409174	NA	NA	NA	NA
time	shared	conditional	5	3409081	9532	83063	3258315	57725	1609076	256	3398374	3570534	NA	NA	NA	NA
time	shared	global-index	5	5772676	3667	323569	5411972	33435	5124999	256	5691628	5954275	NA	NA	NA	NA
time	shared	global-scan	5	3225493	3523	270259	2918817	34622	2658636	256	3181729	3300465	NA	NA	NA	NA
time	shared	graph	5	1698014	663	54620	1604081	41731	1594775	256	1684491	1707201	NA	NA	NA	NA
time	shared	graph-original	5	1763207	666	54608	1665265	42049	1655739	256	1727913	1794516	NA	NA	NA	NA
