kind,rep,family,mode,reuse,total_ns,execution_ns,setup_ns,preparation_ns,disposal_ns,first_cold_ns,cancel_ns,requested_bytes,peak_increment_bytes
time,1,after-success,dependencies,8,1084408,647348,291402,15830,129828,112022,104533,,
time,1,after-clash,direct,1,104881,50738,33199,14227,6717,,92803,,
time,1,trivial,conditional,8,6697534,6599063,15705,34321,48445,726341,684085,,
time,1,before-clash,ordinary,1,90688,31461,32799,12150,14278,,64288,,
time,1,after-success,exact,1,179792,102693,35268,31743,10088,149352,129308,,
time,1,before-success,exact,8,1292494,862438,286542,16673,126841,137057,137562,,
time,1,after-success,conditional,8,68926043,68369574,398139,29484,128846,8420096,8370409,,
time,1,unique,graph,1,4085196,4011850,18002,40949,14395,391380,379170,,
time,1,after-clash,ordinary,8,810816,450076,306585,21961,32194,,94661,,
time,1,unique,indexed,1,646843,542296,37854,56956,9737,475175,550563,,
time,1,before-success,ordinary,8,1198393,780583,280900,15626,121284,127139,140424,,
time,1,trivial,ordinary,1,92241,64372,1585,20368,5916,66689,57064,,
time,1,before-success,conditional,1,967312,872311,41479,39626,13896,815842,807840,,
time,1,before-success,ordinary,1,188499,102650,42625,34007,9217,157959,130735,,
time,1,after-clash,dependencies,8,779157,419024,302885,23296,33952,,95126,,
time,1,before-success,direct,1,177264,105565,34738,27836,9125,145438,136435,,
time,1,before-clash,dependencies,1,79746,28040,32658,12435,6613,,67719,,
time,1,before-success,conditional,8,7948492,7383402,398098,39954,127038,893307,848127,,
time,1,after-success,exact,8,1281179,826523,299158,16865,138633,134881,130560,,
time,1,after-success,conditional,1,8801222,8696117,46923,43273,14909,8540140,8467822,,
time,1,before-success,indexed,8,6845169,6314151,351823,64080,115115,691229,813751,,
time,1,after-success,graph,1,4053900,3995698,17825,29440,10937,375983,356285,,
time,1,after-clash,exact,8,853419,483656,311142,22836,35785,,100481,,
time,1,trivial,direct,1,94879,66746,1731,19944,6458,68277,57806,,
time,1,after-clash,conditional,8,82290506,81809986,390057,36394,54069,,10606009,,
time,1,after-clash,direct,8,978963,533914,377488,26472,41089,,96710,,
time,1,unique,exact,8,1418988,937230,304052,25945,151761,166503,140832,,
time,1,after-clash,dependencies,1,130598,64933,39701,17753,8211,,105714,,
time,1,after-clash,graph,8,28654374,28422407,176787,24830,30350,,3460017,,
time,1,after-success,indexed,1,664139,575042,38525,42402,8170,474176,560038,,
time,1,before-clash,conditional,8,986762,575655,343666,31857,35584,,111602,,
time,1,before-clash,indexed,8,3251990,2881368,326175,38813,5634,,412309,,
time,1,after-success,ordinary,8,1205101,755037,303655,15916,130493,125388,119339,,
time,1,after-clash,conditional,1,10665679,10574549,42554,28297,20279,,10707585,,
time,1,before-success,dependencies,1,182635,107375,35602,28754,10904,138006,145186,,
time,1,before-success,graph,1,1544948,1489917,18015,26491,10525,344763,341966,,
time,1,unique,dependencies,8,2081472,1565636,332350,24550,158936,228181,223845,,
time,1,unique,direct,1,193406,109511,35286,36230,12379,159144,153714,,
time,1,unique,direct,8,1361584,895876,296925,23406,145377,145678,131332,,
time,1,after-success,ordinary,1,180857,106111,36289,28842,9615,148829,133131,,
time,1,trivial,indexed,1,331274,273439,2575,48993,6267,250701,220189,,
time,1,trivial,exact,8,674497,615568,9465,18955,30509,72596,59809,,
time,1,trivial,graph,1,1696333,1665322,1566,20769,8676,279340,293685,,
time,1,after-clash,exact,1,122888,61681,35438,14840,10929,,101130,,
time,1,trivial,dependencies,8,651458,595137,8396,19392,28533,70853,79791,,
time,1,after-success,indexed,8,5422230,4946933,382954,51133,41210,545961,572629,,
time,1,unique,ordinary,1,191046,100143,38609,40916,11378,159389,138290,,
time,1,before-success,direct,8,1314766,858821,308801,16874,130270,136339,129534,,
time,1,before-success,graph,8,13345790,13067932,207881,16560,53417,343059,340350,,
time,1,trivial,indexed,8,2672588,2509520,91472,41736,29860,243017,236928,,
time,1,trivial,conditional,1,902819,855248,1673,34196,11702,756725,701172,,
time,1,before-success,dependencies,8,1232226,756358,303702,46575,125591,177755,116706,,
time,1,unique,exact,1,219397,118279,42920,41847,16351,181954,150716,,
time,1,after-success,dependencies,1,155675,85414,34730,26577,8954,125355,109737,,
time,1,before-clash,graph,8,547438,382965,126173,19584,18716,,64724,,
time,1,before-clash,graph,1,77844,43377,13966,9443,11058,,59820,,
time,1,trivial,direct,8,657391,602508,8801,18890,27192,67592,56813,,
time,1,trivial,graph,8,14621509,14546251,12252,18709,44297,270429,315830,,
time,1,trivial,dependencies,1,102766,73169,1858,21082,6657,74764,63325,,
time,1,before-success,indexed,1,720960,634447,37849,36103,12561,533392,738921,,
time,1,after-clash,ordinary,1,104307,49894,33464,14110,6839,,94521,,
time,1,before-clash,direct,1,88977,29861,32108,12329,14679,,66688,,
time,1,before-clash,direct,8,653556,287065,313437,22195,30859,,72652,,
