
running 1 test
test dependency_validation_work ... DEPENDENCY_HEADER,kind,size,reverse,reuse,query,answers,ticks,force,match,validation_passes,validation_entries
DEPENDENCY,delayed-miss,8,true,MatchDependencies,b,1,3,1905,1112,11,12
DEPENDENCY,plain,32,false,CurrentContext,a,1,35,167,33,67,101
DEPENDENCY,plain,32,false,StaticBirth,a,1,35,167,33,67,101
DEPENDENCY,plain,32,false,MatchDependencies,a,1,35,167,33,67,101
DEPENDENCY,plain,32,false,CurrentContext,b,1,35,167,33,67,101
DEPENDENCY,plain,32,false,StaticBirth,b,1,35,167,33,67,101
DEPENDENCY,plain,32,false,MatchDependencies,b,1,35,167,33,67,101
DEPENDENCY,known-hit,32,false,CurrentContext,a,1,35,295,129,67,101
DEPENDENCY,known-hit,32,false,StaticBirth,a,1,35,295,129,67,101
DEPENDENCY,known-hit,32,false,MatchDependencies,a,1,35,295,129,67,101
DEPENDENCY,known-hit,32,false,CurrentContext,b,1,35,295,129,67,101
DEPENDENCY,known-hit,32,false,StaticBirth,b,1,35,295,129,67,101
DEPENDENCY,known-hit,32,false,MatchDependencies,b,1,35,295,129,67,101
DEPENDENCY,known-miss,32,false,CurrentContext,a,1,3,6731,3431,68,69
DEPENDENCY,known-miss,32,false,StaticBirth,a,1,3,6731,3431,68,69
DEPENDENCY,known-miss,32,false,MatchDependencies,a,1,3,6731,3431,68,69
DEPENDENCY,known-miss,32,false,CurrentContext,b,1,3,6731,3431,68,69
DEPENDENCY,known-miss,32,false,StaticBirth,b,1,3,6731,3431,68,69
DEPENDENCY,known-miss,32,false,MatchDependencies,b,1,3,6731,3431,68,69
DEPENDENCY,delayed-hit,32,false,CurrentContext,a,1,35,12895,6969,83,133
DEPENDENCY,delayed-hit,32,false,StaticBirth,a,1,35,12895,6969,83,133
DEPENDENCY,delayed-hit,32,false,MatchDependencies,a,1,35,12895,6969,83,133
DEPENDENCY,delayed-hit,32,false,CurrentContext,b,1,35,12895,6969,83,133
DEPENDENCY,delayed-hit,32,false,StaticBirth,b,1,35,12895,6969,83,133
DEPENDENCY,delayed-hit,32,false,MatchDependencies,b,1,35,12895,6969,83,133
DEPENDENCY,delayed-miss,32,false,CurrentContext,a,1,3,107572,56030,35,36
DEPENDENCY,delayed-miss,32,false,StaticBirth,a,1,3,107572,56030,35,36
DEPENDENCY,delayed-miss,32,false,MatchDependencies,a,1,3,107572,56030,35,36
DEPENDENCY,delayed-miss,32,false,CurrentContext,b,1,3,107572,56030,35,36
DEPENDENCY,delayed-miss,32,false,StaticBirth,b,1,3,107572,56030,35,36
DEPENDENCY,delayed-miss,32,false,MatchDependencies,b,1,3,107572,56030,35,36
DEPENDENCY,plain,32,true,CurrentContext,a,1,35,167,33,67,101
DEPENDENCY,plain,32,true,StaticBirth,a,1,35,167,33,67,101
DEPENDENCY,plain,32,true,MatchDependencies,a,1,35,167,33,67,101
DEPENDENCY,plain,32,true,CurrentContext,b,1,35,167,33,67,101
DEPENDENCY,plain,32,true,StaticBirth,b,1,35,167,33,67,101
DEPENDENCY,plain,32,true,MatchDependencies,b,1,35,167,33,67,101
DEPENDENCY,known-hit,32,true,CurrentContext,a,1,35,295,129,67,101
DEPENDENCY,known-hit,32,true,StaticBirth,a,1,35,295,129,67,101
DEPENDENCY,known-hit,32,true,MatchDependencies,a,1,35,295,129,67,101
DEPENDENCY,known-hit,32,true,CurrentContext,b,1,35,295,129,67,101
DEPENDENCY,known-hit,32,true,StaticBirth,b,1,35,295,129,67,101
DEPENDENCY,known-hit,32,true,MatchDependencies,b,1,35,295,129,67,101
DEPENDENCY,known-miss,32,true,CurrentContext,a,1,3,4520,2276,35,36
DEPENDENCY,known-miss,32,true,StaticBirth,a,1,3,4520,2276,35,36
DEPENDENCY,known-miss,32,true,MatchDependencies,a,1,3,4520,2276,35,36
DEPENDENCY,known-miss,32,true,CurrentContext,b,1,3,4520,2276,35,36
DEPENDENCY,known-miss,32,true,StaticBirth,b,1,3,4520,2276,35,36
DEPENDENCY,known-miss,32,true,MatchDependencies,b,1,3,4520,2276,35,36
DEPENDENCY,delayed-hit,32,true,CurrentContext,a,1,35,327,129,67,101
DEPENDENCY,delayed-hit,32,true,StaticBirth,a,1,35,327,129,67,101
DEPENDENCY,delayed-hit,32,true,MatchDependencies,a,1,35,327,129,67,101
DEPENDENCY,delayed-hit,32,true,CurrentContext,b,1,35,327,129,67,101
DEPENDENCY,delayed-hit,32,true,StaticBirth,b,1,35,327,129,67,101
DEPENDENCY,delayed-hit,32,true,MatchDependencies,b,1,35,327,129,67,101
DEPENDENCY,delayed-miss,32,true,CurrentContext,a,1,3,102825,54356,35,36
DEPENDENCY,delayed-miss,32,true,StaticBirth,a,1,3,102825,54356,35,36
DEPENDENCY,delayed-miss,32,true,MatchDependencies,a,1,3,102825,54356,35,36
DEPENDENCY,delayed-miss,32,true,CurrentContext,b,1,3,102825,54356,35,36
DEPENDENCY,delayed-miss,32,true,StaticBirth,b,1,3,102825,54356,35,36
DEPENDENCY,delayed-miss,32,true,MatchDependencies,b,1,3,102825,54356,35,36
DEPENDENCY,plain,128,false,CurrentContext,a,1,131,647,129,259,389
DEPENDENCY,plain,128,false,StaticBirth,a,1,131,647,129,259,389
DEPENDENCY,plain,128,false,MatchDependencies,a,1,131,647,129,259,389
DEPENDENCY,plain,128,false,CurrentContext,b,1,131,647,129,259,389
DEPENDENCY,plain,128,false,StaticBirth,b,1,131,647,129,259,389
DEPENDENCY,plain,128,false,MatchDependencies,b,1,131,647,129,259,389
DEPENDENCY,known-hit,128,false,CurrentContext,a,1,131,1159,513,259,389
DEPENDENCY,known-hit,128,false,StaticBirth,a,1,131,1159,513,259,389
DEPENDENCY,known-hit,128,false,MatchDependencies,a,1,131,1159,513,259,389
DEPENDENCY,known-hit,128,false,CurrentContext,b,1,131,1159,513,259,389
DEPENDENCY,known-hit,128,false,StaticBirth,b,1,131,1159,513,259,389
DEPENDENCY,known-hit,128,false,MatchDependencies,b,1,131,1159,513,259,389
DEPENDENCY,known-miss,128,false,CurrentContext,a,1,3,100619,50567,260,261
DEPENDENCY,known-miss,128,false,StaticBirth,a,1,3,100619,50567,260,261
DEPENDENCY,known-miss,128,false,MatchDependencies,a,1,3,100619,50567,260,261
DEPENDENCY,known-miss,128,false,CurrentContext,b,1,3,100619,50567,260,261
DEPENDENCY,known-miss,128,false,StaticBirth,b,1,3,100619,50567,260,261
DEPENDENCY,known-miss,128,false,MatchDependencies,b,1,3,100619,50567,260,261
FAILED

failures:

failures:
    dependency_validation_work

test result: FAILED. 0 passed; 1 failed; 0 ignored; 0 measured; 0 filtered out; finished in 0.30s


thread 'dependency_validation_work' (12) panicked at research/chr-direct-conditional/tests/dependency_work.rs:106:25:
compiled cutoff delayed-hit 128
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
